Solver      Percent_conflict     Time_linear    Status_solve_linear     Decision_linear     Time_confComb    Status_solve_confComb      Decision_confComb
SCIP     25     0      OPTIMAL      461.0     15      OPTIMAL      437.0
CBC     25     0      OPTIMAL      461.0     38      OPTIMAL      437.0
GLOP     25     0      OPTIMAL      461.0     0      OPTIMAL      456.95454545454544
PDLP     25     0      OPTIMAL      461.0000010548876     5      OPTIMAL      456.95423115605786
SCIP     30     0      OPTIMAL      449.0     327      OPTIMAL      410.0
CBC     30     0      OPTIMAL      449.0     4827      OPTIMAL      410.0
GLOP     30     0      OPTIMAL      449.0     0      OPTIMAL      442.33333333333337
PDLP     30     0      OPTIMAL      448.9999953260914     4      OPTIMAL      442.3333331225586
SCIP     25     0      OPTIMAL      463.0     74      OPTIMAL      434.0
CBC     25     0      OPTIMAL      463.0     56      OPTIMAL      434.0
GLOP     25     0      OPTIMAL      463.0     0      OPTIMAL      455.75
PDLP     25     0      OPTIMAL      463.0000310445504     2      OPTIMAL      455.74980989312047
SCIP     29     0      OPTIMAL      454.0     31      OPTIMAL      428.0
CBC     29     0      OPTIMAL      454.0     56      OPTIMAL      428.0
GLOP     29     0      OPTIMAL      454.0     0      OPTIMAL      447.1666666666667
PDLP     29     0      OPTIMAL      454.0     2      OPTIMAL      447.16667926493153
SCIP     25     0      OPTIMAL      455.0     59      OPTIMAL      426.0
CBC     25     0      OPTIMAL      455.0     85      OPTIMAL      426.0
GLOP     25     0      OPTIMAL      455.0     0      OPTIMAL      449.5108695652174
PDLP     25     0      OPTIMAL      454.9999983350066     3      OPTIMAL      449.5108106133615
SCIP     30     0      OPTIMAL      456.0     105      OPTIMAL      420.0
CBC     30     0      OPTIMAL      456.0     268      OPTIMAL      420.0
GLOP     30     0      OPTIMAL      456.0     0      OPTIMAL      449.1666666666667
PDLP     30     0      OPTIMAL      456.00000048363927     3      OPTIMAL      449.1671889393975
SCIP     25     0      OPTIMAL      460.0     8      OPTIMAL      441.0
CBC     25     0      OPTIMAL      460.0     82      OPTIMAL      441.0
GLOP     25     0      OPTIMAL      460.0     0      OPTIMAL      453.3125
PDLP     25     0      OPTIMAL      460.0     2      OPTIMAL      453.31176065819113
SCIP     27     0      OPTIMAL      458.0     46      OPTIMAL      430.00000000000006
CBC     27     0      OPTIMAL      458.0     46      OPTIMAL      430.0
GLOP     27     0      OPTIMAL      458.0     0      OPTIMAL      449.3333333333333
PDLP     27     0      OPTIMAL      458.00000012895936     2      OPTIMAL      449.33388211785865
SCIP     27     0      OPTIMAL      465.0     36      OPTIMAL      436.0
CBC     27     0      OPTIMAL      465.0     73      OPTIMAL      436.0
GLOP     27     0      OPTIMAL      465.0     0      OPTIMAL      455.0571428571429
PDLP     27     0      OPTIMAL      465.0     3      OPTIMAL      455.05733826474983
SCIP     26     0      OPTIMAL      459.0     9      OPTIMAL      437.99999999999983
CBC     26     0      OPTIMAL      459.0     70      OPTIMAL      438.0
GLOP     26     0      OPTIMAL      459.0     0      OPTIMAL      454.5
PDLP     26     0      OPTIMAL      459.0000104453808     1      OPTIMAL      454.499484561979
