Task ConflictPercent Status_solve Time_Solver Desigion
task_0_n15 30 OPTIMAL 9464 240.0
task_1_n15 29 OPTIMAL 1381 248.0
task_2_n15 30 OPTIMAL 7259 249.0
task_3_n15 30 OPTIMAL 7038 249.0
task_4_n15 28 OPTIMAL 2822 249.0
task_5_n15 26 OPTIMAL 1128 261.0
task_6_n15 27 OPTIMAL 4088 249.0
task_7_n15 27 OPTIMAL 6251 251.0
task_8_n15 25 OPTIMAL 713 249.0
task_9_n15 25 OPTIMAL 443 266.0
task_10_n15 38 OPTIMAL 15052 236.0
task_11_n15 34 OPTIMAL 20549 220.0
task_10_n15 38 OPTIMAL 38480 233.0
task_11_n15 32 OPTIMAL 5211 253.0
task_12_n15 37 OPTIMAL 8095 243.0
task_13_n15 38 OPTIMAL 36670 232.0
task_14_n15 31 OPTIMAL 611 261.0
task_15_n15 38 OPTIMAL 2537 245.0
task_16_n15 31 OPTIMAL 799 240.0
task_17_n15 38 OPTIMAL 18426 242.0
task_30_n15 58 INFEASIBLE 31375 0.0
task_31_n15 52 INFEASIBLE 127300 0.0
task_32_n15 59 INFEASIBLE 134486 0.0
task_33_n15 58 INFEASIBLE 179298 0.0
task_34_n15 54 INFEASIBLE 210145 0.0
task_35_n15 53 OPTIMAL 84711 187.0
task_36_n15 55 INFEASIBLE 80378 0.0
task_37_n15 57 INFEASIBLE 53305 0.0
task_38_n15 54 INFEASIBLE 51913 0.0
task_39_n15 58 INFEASIBLE 70450 0.0
task_20_n15 43 OPTIMAL 37870 201.0
task_21_n15 42 OPTIMAL 127079 195.0
task_22_n15 46 OPTIMAL 90161 175.0
task_23_n15 44 OPTIMAL 151538 205.0
task_24_n15 43 OPTIMAL 72968 206.0
task_25_n15 42 OPTIMAL 26976 225.0
task_26_n15 44 OPTIMAL 107469 116.0
task_27_n15 42 OPTIMAL 48710 193.0
task_28_n15 42 OPTIMAL 103185 178.0
task_29_n15 44 OPTIMAL 74124 207.0
