Task Solver Time_Solver Status_solve Desigion
task_0_n10 SCIP 12 OPTIMAL 165.0
task_0_n10 CBC 6 OPTIMAL 165.0
task_1_n10 SCIP 6 OPTIMAL 176.0
task_1_n10 CBC 4 OPTIMAL 176.0
task_2_n10 SCIP 6 OPTIMAL 171.0
task_2_n10 CBC 3 OPTIMAL 171.0
task_3_n10 SCIP 6 OPTIMAL 165.0
task_3_n10 CBC 4 OPTIMAL 165.0
task_4_n10 SCIP 6 OPTIMAL 179.0
task_4_n10 CBC 4 OPTIMAL 179.0
task_5_n10 SCIP 5 OPTIMAL 163.0
task_5_n10 CBC 4 OPTIMAL 163.0
task_6_n10 SCIP 5 OPTIMAL 164.0
task_6_n10 CBC 4 OPTIMAL 164.0
task_7_n10 SCIP 5 OPTIMAL 173.0
task_7_n10 CBC 4 OPTIMAL 173.0
task_8_n10 SCIP 5 OPTIMAL 174.0
task_8_n10 CBC 4 OPTIMAL 174.0
task_9_n10 SCIP 6 OPTIMAL 152.0
task_9_n10 CBC 4 OPTIMAL 152.0
