Task ConflictPercent Status_solve Time_Solver Desigion
task_0_n20 27 OPTIMAL 17937 339.0
task_1_n20 29 OPTIMAL 25128 338.0
task_2_n20 28 OPTIMAL 35470 340.0
task_3_n20 25 OPTIMAL 7439 348.0
task_4_n20 26 OPTIMAL 15952 336.0
task_5_n20 29 OPTIMAL 52296 341.0
task_6_n20 28 OPTIMAL 9245 349.0
task_7_n20 27 OPTIMAL 16369 341.0
task_8_n20 29 OPTIMAL 67215 341.0
task_9_n20 29 OPTIMAL 71497 340.0
task_10_n20 31 OPTIMAL 92008 320.0
task_11_n20 38 OPTIMAL 1489735 323.0
task_12_n20 38 OPTIMAL 224703 320.0
task_13_n20 33 OPTIMAL 152429 319.0
