10 true

15 2 17 13 10 9 8 3 4 8 
18 9 18 14 14 3 10 13 7 9 
0 16 14 7 17 14 1 17 17 9 
12 3 11 11 18 15 18 18 5 11 
12 14 8 0 14 11 3 9 5 15 
7 19 7 1 7 2 11 5 2 7 
3 2 11 19 18 6 3 13 12 1 
10 7 10 16 13 4 18 19 0 5 
5 3 6 19 7 6 2 15 19 11 
16 12 0 4 3 18 10 8 19 6 

19 19 
2 3 4 
2 2 7 
2 3 9 
2 3 8 
2 3 8 
2 5 7 
2 0 1 
2 3 5 
2 1 5 
2 3 6 
2 3 8 
2 7 9 
2 0 3 
2 3 5 
2 4 7 
2 0 9 
2 0 4 
2 0 9 
2 6 8 

2 2 3 
2 4 6 
2 0 4 
2 1 5 
2 1 3 
2 3 5 
2 0 3 
2 0 2 
2 3 8 
2 5 8 
2 1 6 
2 0 5 
2 5 6 
2 0 2 
2 1 6 
2 0 8 
2 1 7 
2 1 8 
2 2 3 
