15 true

11 7 14 9 6 11 5 17 3 2 9 7 4 15 18 
8 16 2 2 9 16 15 10 7 14 12 5 1 5 11 
12 6 0 0 1 13 10 6 14 9 16 4 2 15 14 
18 9 12 19 19 3 3 2 3 3 9 13 4 9 11 
3 12 9 8 2 11 11 8 15 1 0 16 12 19 15 
8 17 19 14 15 10 18 12 0 12 5 15 1 10 18 
4 10 15 10 17 8 15 2 6 8 16 9 13 3 11 
4 3 10 18 19 9 15 1 16 18 4 18 17 7 8 
4 4 16 18 0 19 14 18 7 15 3 11 13 7 17 
15 5 4 16 5 3 0 9 18 13 1 19 14 2 8 
18 6 8 2 16 7 18 12 1 16 4 19 8 7 6 
14 13 8 19 13 11 6 9 6 4 10 14 7 19 6 
15 11 13 13 9 4 13 2 6 18 11 2 7 11 18 
11 0 15 0 18 5 11 14 4 7 17 17 11 0 16 
9 10 0 18 16 13 6 10 0 17 19 1 14 7 17 

52 52 
2 1 11 
2 2 11 
2 8 9 
2 4 12 
2 0 4 
2 8 9 
2 2 5 
2 4 6 
2 7 10 
2 3 12 
2 5 8 
2 4 13 
2 6 12 
2 12 13 
2 6 8 
2 0 6 
2 5 8 
2 5 7 
2 0 7 
2 8 12 
2 0 3 
2 2 13 
2 2 13 
2 4 5 
2 4 12 
2 6 14 
2 6 13 
2 6 8 
2 3 7 
2 11 13 
2 6 13 
2 6 11 
2 7 11 
2 5 8 
2 2 9 
2 4 7 
2 6 12 
2 0 6 
2 6 7 
2 11 12 
2 3 14 
2 8 10 
2 1 2 
2 3 6 
2 5 12 
2 9 13 
2 1 10 
2 7 11 
2 0 12 
2 3 13 
2 6 12 
2 7 8 

2 4 11 
2 5 9 
2 2 14 
2 0 11 
2 1 4 
2 0 14 
2 2 9 
2 7 12 
2 3 4 
2 2 6 
2 5 14 
2 0 12 
2 1 6 
2 0 3 
2 7 13 
2 4 10 
2 4 13 
2 2 11 
2 8 13 
2 0 13 
2 0 4 
2 6 7 
2 4 7 
2 4 11 
2 5 7 
2 7 8 
2 0 10 
2 10 13 
2 3 5 
2 1 14 
2 4 10 
2 1 6 
2 10 13 
2 5 6 
2 1 14 
2 0 13 
2 1 13 
2 7 10 
2 2 4 
2 0 1 
2 4 14 
2 6 9 
2 6 14 
2 2 9 
2 8 14 
2 0 7 
2 12 14 
2 0 5 
2 6 13 
2 7 12 
2 2 5 
2 6 9 
