20 true

12 9 1 17 2 0 6 13 15 1 4 2 19 16 0 7 9 16 19 6 
15 8 6 16 14 7 0 2 18 13 16 0 19 7 17 3 1 12 15 4 
5 17 16 11 14 15 15 6 9 18 11 13 16 1 0 16 3 18 6 16 
6 7 17 0 2 13 10 7 10 9 13 1 3 8 13 18 14 7 18 3 
14 13 13 7 3 18 16 18 12 7 15 17 16 4 14 1 3 16 17 7 
19 11 19 0 6 8 0 9 15 4 2 17 19 17 10 15 9 7 12 9 
13 18 1 1 14 12 11 1 5 8 11 6 19 8 16 15 7 0 14 1 
15 4 16 16 5 9 9 9 16 9 3 3 0 17 2 17 0 7 19 8 
18 16 11 16 10 1 19 6 6 6 6 8 5 11 3 15 17 12 4 17 
11 1 16 19 4 4 13 7 12 0 3 17 18 10 18 11 0 6 6 17 
4 18 17 4 11 2 10 17 19 8 9 17 6 13 12 6 17 1 17 6 
1 8 19 0 14 0 13 10 16 8 3 18 14 11 12 8 1 3 11 9 
14 17 10 11 7 19 15 3 9 2 0 13 7 1 14 6 9 2 11 0 
6 1 7 7 17 19 1 9 17 11 13 19 6 14 16 0 13 1 11 2 
11 14 15 13 5 14 8 4 11 4 0 3 0 7 0 5 12 16 4 5 
1 15 2 17 7 18 19 3 0 14 0 18 11 13 18 8 5 2 1 15 
16 14 11 3 7 0 3 13 19 7 13 1 1 5 11 17 5 15 14 8 
17 12 8 8 10 8 3 11 5 1 5 5 1 2 7 0 2 15 7 14 
16 15 7 13 0 9 15 1 6 18 19 15 14 1 5 3 5 2 11 6 
9 10 16 15 3 14 10 18 4 9 1 5 10 9 1 18 8 2 12 10 

53 53 
2 19 12 
2 16 19 
2 8 15 
2 16 17 
2 0 3 
2 17 10 
2 18 9 
2 1 8 
2 4 11 
2 3 9 
2 2 4 
2 7 9 
2 0 4 
2 6 11 
2 0 5 
2 6 11 
2 18 15 
2 17 5 
2 4 10 
2 19 13 
2 18 6 
2 4 13 
2 19 10 
2 9 11 
2 1 9 
2 17 10 
2 2 18 
2 1 12 
2 17 2 
2 0 16 
2 1 17 
2 3 8 
2 9 10 
2 7 13 
2 0 17 
2 8 13 
2 19 4 
2 1 13 
2 1 7 
2 3 10 
2 18 19 
2 19 14 
2 4 8 
2 3 7 
2 18 15 
2 10 14 
2 16 19 
2 5 15 
2 4 8 
2 7 9 
2 19 13 
2 2 10 
2 17 2 

2 17 2 
2 6 12 
2 0 2 
2 9 14 
2 19 9 
2 19 8 
2 16 18 
2 13 15 
2 4 6 
2 17 5 
2 3 11 
2 12 14 
2 18 19 
2 16 10 
2 7 10 
2 16 19 
2 18 13 
2 0 4 
2 2 12 
2 10 15 
2 2 10 
2 17 4 
2 0 19 
2 7 15 
2 16 15 
2 17 13 
2 16 15 
2 16 12 
2 18 10 
2 1 2 
2 2 4 
2 8 13 
2 1 14 
2 0 6 
2 18 19 
2 5 12 
2 3 6 
2 19 11 
2 16 3 
2 4 8 
2 8 13 
2 19 9 
2 19 9 
2 2 10 
2 17 1 
2 14 15 
2 0 7 
2 1 4 
2 8 9 
2 10 15 
2 18 14 
2 1 15 
2 3 19 
