Task ConflictPercent Status_solve Time_Solver Desigion
task_0_n10 26 OPTIMAL 250 166.0
task_1_n10 26 OPTIMAL 58 167.0
task_2_n10 27 OPTIMAL 20 171.0
task_3_n10 29 OPTIMAL 128 151.0
task_4_n10 27 OPTIMAL 20 174.0
task_5_n10 25 OPTIMAL 127 158.0
task_6_n10 29 OPTIMAL 159 165.0
task_7_n10 25 OPTIMAL 57 152.0
task_8_n10 27 OPTIMAL 19 167.0
task_9_n10 26 OPTIMAL 178 157.0
task_10_n10 34 OPTIMAL 236 150.0
task_11_n10 37 OPTIMAL 1346 143.0
task_12_n10 35 OPTIMAL 303 147.0
task_13_n10 39 OPTIMAL 213 150.0
task_14_n10 39 OPTIMAL 281 158.0
task_15_n10 38 OPTIMAL 1232 138.0
task_16_n10 39 OPTIMAL 57 163.0
task_17_n10 35 OPTIMAL 171 152.0
task_18_n10 35 OPTIMAL 157 154.0
task_19_n10 39 OPTIMAL 314 135.0
task_20_n10 48 OPTIMAL 1390 143.0
task_21_n10 41 OPTIMAL 2218 139.0
task_22_n10 46 OPTIMAL 260 155.0
task_23_n10 45 OPTIMAL 233 144.0
task_24_n10 43 OPTIMAL 4017 121.0
task_25_n10 43 OPTIMAL 937 137.0
task_26_n10 45 OPTIMAL 293 140.0
task_27_n10 43 OPTIMAL 443 148.0
task_28_n10 42 OPTIMAL 1898 151.0
task_29_n10 41 OPTIMAL 136 157.0
