25 true

16 12 18 17 9 8 12 1 10 7 3 12 2 17 5 8 15 2 12 0 19 10 12 0 18 
14 17 5 19 19 0 14 18 5 19 4 13 5 14 11 13 17 3 3 17 8 5 19 14 10 
13 13 1 5 7 10 17 7 3 0 10 17 7 12 13 12 14 10 16 12 0 14 1 19 19 
2 0 17 14 17 2 11 6 11 11 1 14 19 1 3 15 1 13 1 7 6 12 7 11 13 
9 16 13 12 0 12 17 18 14 2 12 1 2 9 15 0 5 14 18 12 12 12 3 4 15 
3 16 17 0 17 14 15 6 19 7 4 17 3 10 10 15 15 15 2 0 14 12 13 13 8 
12 2 2 18 17 17 17 1 2 15 13 14 7 7 1 10 11 9 13 5 14 11 19 11 17 
12 2 12 9 5 10 6 16 11 15 6 5 10 13 9 16 18 18 19 0 13 11 7 12 2 
7 19 16 15 1 19 9 16 9 12 18 15 9 0 3 16 8 17 11 2 9 16 8 7 16 
5 19 19 7 9 8 0 4 19 11 5 17 6 2 11 14 1 1 17 11 1 10 7 16 7 
11 5 0 6 1 11 17 2 13 18 8 9 0 10 6 9 9 15 19 16 9 2 18 1 2 
18 4 1 0 9 5 1 9 6 5 1 19 16 13 7 11 6 0 5 16 1 15 4 5 13 
8 5 7 16 3 3 2 10 10 19 15 16 7 18 1 3 3 5 10 17 13 5 17 15 0 
2 1 6 17 7 7 6 19 1 18 16 18 0 6 11 1 19 11 16 17 1 18 5 7 5 
9 7 6 18 16 7 16 18 13 0 17 7 5 16 17 7 2 14 2 13 3 19 10 10 14 
1 17 11 19 16 11 7 4 10 3 3 2 14 7 4 4 0 12 4 18 3 18 5 0 2 
1 9 3 10 11 12 12 16 14 13 17 1 17 8 19 1 4 3 15 13 19 15 18 16 5 
12 14 7 18 6 0 2 9 9 13 4 13 8 11 18 11 6 19 7 5 0 6 12 2 0 
16 8 18 17 3 8 15 18 16 6 9 4 15 14 5 10 12 11 2 16 12 8 12 0 3 
11 18 10 6 9 1 18 4 11 19 14 5 12 10 5 12 6 7 13 10 14 1 7 5 14 
3 11 1 5 19 15 7 0 16 15 1 17 6 4 3 5 14 19 1 8 4 4 11 14 4 
0 3 0 9 16 14 1 0 6 16 3 8 2 16 17 7 11 2 8 3 1 1 13 4 8 
15 14 6 4 10 4 1 0 7 1 4 3 15 19 13 7 2 5 8 2 5 19 7 0 14 
7 9 18 17 3 8 10 15 14 15 19 10 6 1 18 0 5 18 12 3 1 18 4 7 5 
11 11 10 14 2 9 19 15 11 5 2 12 8 12 19 2 16 13 18 2 11 2 4 1 19 

75 75 
2 0 12 
2 5 23 
2 23 8 
2 19 9 
2 19 5 
2 2 5 
2 5 22 
2 23 15 
2 4 5 
2 19 8 
2 18 22 
2 1 18 
2 7 9 
2 16 10 
2 3 21 
2 22 13 
2 5 9 
2 23 8 
2 4 7 
2 19 7 
2 16 21 
2 3 5 
2 0 19 
2 3 20 
2 2 10 
2 22 9 
2 2 21 
2 1 12 
2 0 21 
2 16 13 
2 2 7 
2 22 11 
2 2 20 
2 9 14 
2 3 23 
2 22 11 
2 16 15 
2 5 15 
2 4 24 
2 0 21 
2 22 13 
2 20 13 
2 17 2 
2 20 14 
2 8 24 
2 18 13 
2 18 11 
2 6 15 
2 1 19 
2 18 6 
2 7 8 
2 24 11 
2 17 12 
2 8 14 
2 3 20 
2 6 9 
2 1 7 
2 22 15 
2 4 22 
2 5 11 
2 7 23 
2 2 22 
2 1 3 
2 20 15 
2 23 9 
2 2 22 
2 4 13 
2 18 19 
2 0 3 
2 21 13 
2 3 6 
2 16 3 
2 4 10 
2 0 23 
2 8 9 

2 16 6 
2 9 15 
2 1 7 
2 19 21 
2 19 7 
2 16 13 
2 6 24 
2 0 22 
2 8 10 
2 4 6 
2 16 20 
2 6 11 
2 16 4 
2 19 15 
2 16 24 
2 0 12 
2 1 10 
2 17 3 
2 0 21 
2 0 2 
2 1 4 
2 0 23 
2 22 14 
2 4 12 
2 19 15 
2 16 17 
2 24 9 
2 22 8 
2 24 11 
2 0 22 
2 21 7 
2 20 5 
2 17 20 
2 18 9 
2 21 23 
2 21 22 
2 13 15 
2 2 19 
2 2 15 
2 22 8 
2 4 9 
2 0 4 
2 3 24 
2 1 14 
2 20 13 
2 10 13 
2 18 24 
2 2 6 
2 8 15 
2 24 11 
2 6 11 
2 23 13 
2 16 22 
2 0 23 
2 24 9 
2 11 14 
2 2 3 
2 7 9 
2 9 10 
2 11 15 
2 22 8 
2 2 22 
2 19 12 
2 16 7 
2 4 14 
2 23 15 
2 6 12 
2 1 13 
2 20 9 
2 4 10 
2 17 19 
2 7 13 
2 22 8 
2 1 8 
2 18 23 
