20 true

14 17 6 6 16 5 8 16 14 18 0 4 7 3 5 18 9 19 10 14 
12 0 3 11 7 7 10 17 7 17 15 7 16 19 0 6 9 4 19 4 
11 17 5 14 3 3 19 8 9 1 10 18 8 16 5 16 14 5 12 3 
2 10 16 2 12 2 0 15 3 15 17 10 2 11 17 8 9 4 19 14 
19 12 3 9 16 19 11 2 5 6 3 17 1 19 3 19 17 16 0 11 
16 1 15 7 12 12 7 13 13 4 5 7 3 16 9 3 6 6 12 7 
17 3 2 18 16 17 14 4 12 7 3 2 19 17 13 1 17 18 13 17 
16 11 3 7 3 19 17 11 3 0 0 18 19 17 6 6 0 6 17 7 
5 6 5 15 10 17 16 15 9 17 18 12 10 17 6 9 9 1 5 10 
0 13 3 11 7 9 16 12 12 4 0 9 7 2 6 2 10 18 19 13 
13 12 18 14 19 18 2 2 0 13 17 3 7 5 15 4 17 0 11 9 
6 12 1 0 13 0 16 1 3 6 0 7 15 14 5 14 9 4 2 2 
2 9 10 11 1 2 10 13 13 12 12 17 16 0 6 7 6 8 13 7 
18 19 5 1 13 8 7 10 19 9 9 12 15 14 14 2 12 8 0 16 
11 1 16 15 17 2 16 17 13 3 10 10 6 3 7 16 14 2 6 3 
5 4 19 9 7 14 4 18 2 18 12 13 8 19 5 4 2 16 6 9 
11 6 7 3 18 16 1 9 1 5 0 9 18 10 10 11 17 6 13 3 
17 6 15 8 15 11 5 1 4 4 4 6 2 6 1 7 10 2 1 6 
9 7 3 13 17 8 15 19 0 15 2 4 2 14 6 10 17 6 15 1 
3 3 1 16 17 2 11 11 11 6 16 4 16 2 19 17 0 2 17 14 

49 49 
2 3 10 
2 16 15 
2 2 7 
2 4 7 
2 9 12 
2 0 11 
2 3 9 
2 5 9 
2 13 14 
2 1 13 
2 0 5 
2 17 7 
2 4 15 
2 0 13 
2 16 4 
2 0 11 
2 18 4 
2 5 8 
2 19 12 
2 3 4 
2 16 8 
2 4 10 
2 3 10 
2 3 19 
2 18 3 
2 5 8 
2 6 14 
2 1 6 
2 16 8 
2 7 10 
2 0 4 
2 4 13 
2 17 12 
2 17 8 
2 13 15 
2 5 11 
2 9 11 
2 10 13 
2 5 13 
2 2 7 
2 8 15 
2 2 14 
2 16 18 
2 1 17 
2 4 12 
2 8 15 
2 18 8 
2 0 18 
2 7 14 

2 17 14 
2 17 14 
2 2 7 
2 16 15 
2 7 9 
2 2 3 
2 2 3 
2 2 10 
2 4 15 
2 16 15 
2 17 11 
2 18 2 
2 8 10 
2 5 7 
2 3 4 
2 2 14 
2 14 15 
2 3 11 
2 0 3 
2 5 15 
2 9 14 
2 18 9 
2 9 13 
2 5 8 
2 1 14 
2 19 15 
2 12 13 
2 19 12 
2 1 8 
2 2 4 
2 7 15 
2 3 15 
2 12 15 
2 2 7 
2 17 12 
2 1 18 
2 2 8 
2 17 10 
2 3 4 
2 3 11 
2 8 15 
2 2 10 
2 1 4 
2 17 19 
2 17 18 
2 0 13 
2 3 5 
2 17 18 
2 9 13 
