30 true

1 1 17 10 13 14 1 2 10 3 18 12 2 3 3 7 17 18 11 18 7 8 14 4 15 15 15 4 19 9 
1 2 11 4 6 13 10 16 13 0 12 16 6 7 9 1 2 16 14 19 16 1 4 0 4 9 2 0 7 0 
6 18 6 9 7 2 10 9 17 0 6 7 15 10 9 7 6 14 0 5 18 10 16 7 5 3 9 7 18 11 
14 2 16 18 11 5 6 9 2 17 0 0 1 18 7 7 12 1 11 3 1 4 6 2 3 14 10 16 14 7 
6 13 2 11 18 3 5 16 17 4 11 10 16 17 8 15 6 6 10 5 4 9 12 18 11 18 17 4 13 18 
10 13 2 2 9 18 1 16 14 7 10 6 8 17 1 8 3 17 13 13 2 1 5 10 5 2 17 16 6 11 
6 8 15 16 0 0 15 13 1 15 16 12 18 7 13 0 12 6 19 1 0 0 8 6 17 15 4 8 10 2 
0 0 12 8 4 4 7 15 2 8 15 8 8 10 8 14 19 5 5 3 15 1 13 1 5 16 7 1 15 12 
13 14 2 12 9 17 11 0 0 3 3 7 4 13 5 16 1 1 7 0 7 13 7 10 18 12 12 14 18 16 
18 19 3 2 7 8 18 10 4 17 0 9 3 3 9 2 6 14 16 18 19 19 17 19 5 11 9 7 10 10 
14 0 5 10 4 12 9 10 17 16 12 4 15 3 3 1 2 13 4 0 5 4 15 3 16 1 18 12 1 11 
14 4 1 17 8 19 8 14 10 2 7 2 10 7 15 14 16 12 6 10 7 3 13 15 4 6 3 16 12 3 
4 9 0 19 10 8 11 0 12 13 17 17 3 7 1 15 4 13 19 5 0 9 16 14 12 16 17 13 18 16 
3 13 2 14 7 16 9 2 11 2 0 1 17 0 0 6 9 4 1 10 14 18 16 16 3 9 10 11 13 3 
10 0 19 3 5 14 12 12 0 5 14 16 16 1 13 5 15 17 17 10 19 2 12 1 4 2 14 4 10 3 
8 3 4 6 2 12 14 14 12 7 16 4 14 15 18 5 2 12 8 19 7 14 11 4 2 17 5 10 7 0 
19 16 4 13 3 17 18 7 1 3 0 10 10 1 8 1 10 13 5 5 4 4 17 19 0 15 9 15 4 5 
4 17 3 5 9 7 8 3 9 11 15 15 0 17 19 18 11 2 2 10 7 10 16 13 1 10 5 0 19 3 
13 14 11 1 10 0 2 7 18 15 4 8 16 9 1 1 3 14 8 15 19 11 1 19 12 6 17 3 19 9 
4 4 18 7 16 8 19 9 16 19 1 16 6 14 6 16 14 3 9 9 7 4 11 7 10 16 17 17 5 5 
7 12 9 9 19 11 19 1 7 0 9 12 19 1 12 13 15 7 12 16 13 14 10 2 16 10 16 15 16 10 
7 4 7 3 7 11 19 9 14 13 13 12 11 19 12 7 9 8 19 14 4 9 12 12 14 4 15 18 12 1 
3 9 17 18 16 1 2 12 10 16 9 12 12 15 3 19 15 13 11 15 0 9 14 16 0 17 19 6 6 4 
3 11 11 18 17 18 14 0 15 19 11 12 17 0 1 16 4 3 17 16 19 6 18 18 19 16 15 17 2 8 
10 14 18 11 19 10 14 0 10 5 13 4 13 1 6 17 19 4 7 2 7 2 15 12 16 12 8 10 7 2 
13 16 1 6 12 10 7 17 15 3 5 8 0 4 12 18 13 6 5 11 1 8 11 13 18 16 14 10 18 11 
10 17 9 13 7 10 16 9 16 6 8 17 14 11 9 4 16 1 19 8 17 9 17 15 12 6 18 10 5 16 
17 11 5 4 17 2 7 14 1 0 14 0 17 19 11 17 17 18 19 5 7 11 17 8 8 5 14 19 15 13 
1 19 2 0 11 7 14 9 15 2 3 1 1 11 2 9 8 11 11 15 8 4 19 9 0 11 16 7 0 14 
12 11 11 1 14 10 13 12 15 9 6 12 3 13 13 4 1 18 7 5 4 8 9 9 14 4 12 5 7 17 

126 126 
2 19 15 
2 12 13 
2 25 11 
2 8 28 
2 4 6 
2 21 5 
2 18 29 
2 11 12 
2 24 27 
2 0 17 
2 16 20 
2 1 28 
2 23 8 
2 5 29 
2 1 24 
2 25 11 
2 23 24 
2 18 11 
2 23 28 
2 19 6 
2 28 15 
2 1 11 
2 18 25 
2 20 23 
2 0 7 
2 3 14 
2 17 27 
2 2 3 
2 1 20 
2 4 14 
2 17 10 
2 3 12 
2 2 29 
2 17 11 
2 17 9 
2 28 13 
2 1 26 
2 20 13 
2 18 29 
2 22 11 
2 13 15 
2 9 11 
2 5 28 
2 23 25 
2 5 22 
2 20 22 
2 1 20 
2 0 4 
2 9 27 
2 16 5 
2 1 13 
2 23 8 
2 11 12 
2 2 15 
2 11 13 
2 18 12 
2 6 9 
2 8 26 
2 3 23 
2 4 12 
2 25 12 
2 11 29 
2 9 28 
2 1 11 
2 1 22 
2 10 14 
2 0 23 
2 26 29 
2 9 12 
2 20 9 
2 2 27 
2 6 29 
2 27 28 
2 20 14 
2 5 7 
2 21 11 
2 3 5 
2 10 26 
2 18 27 
2 16 29 
2 23 9 
2 20 26 
2 8 15 
2 24 14 
2 5 11 
2 3 7 
2 17 26 
2 1 25 
2 17 6 
2 6 15 
2 5 25 
2 24 12 
2 0 23 
2 0 4 
2 27 14 
2 19 12 
2 23 12 
2 8 10 
2 19 3 
2 0 27 
2 5 28 
2 16 21 
2 25 15 
2 1 20 
2 4 12 
2 7 14 
2 11 14 
2 18 7 
2 18 29 
2 9 13 
2 1 24 
2 13 14 
2 6 10 
2 6 9 
2 11 14 
2 13 15 
2 18 27 
2 21 12 
2 8 12 
2 6 13 
2 18 21 
2 16 9 
2 3 6 
2 10 12 
2 3 4 
2 19 14 

2 10 14 
2 16 0 
2 6 11 
2 25 27 
2 1 27 
2 16 21 
2 1 18 
2 24 25 
2 12 14 
2 17 28 
2 12 29 
2 23 11 
2 18 24 
2 12 29 
2 5 29 
2 5 7 
2 0 8 
2 3 6 
2 4 23 
2 6 12 
2 25 29 
2 23 7 
2 4 14 
2 20 26 
2 19 14 
2 26 27 
2 19 22 
2 21 6 
2 1 21 
2 1 12 
2 1 29 
2 10 13 
2 25 11 
2 28 13 
2 12 29 
2 16 29 
2 2 23 
2 22 7 
2 1 4 
2 16 4 
2 20 15 
2 1 20 
2 26 12 
2 23 25 
2 1 23 
2 10 12 
2 1 18 
2 4 9 
2 16 15 
2 4 26 
2 3 11 
2 17 7 
2 4 23 
2 24 8 
2 0 17 
2 20 27 
2 20 28 
2 17 9 
2 7 10 
2 3 24 
2 22 24 
2 0 28 
2 19 7 
2 6 27 
2 17 23 
2 20 11 
2 5 25 
2 24 14 
2 7 29 
2 17 15 
2 21 15 
2 0 4 
2 5 12 
2 25 26 
2 6 15 
2 21 25 
2 6 29 
2 5 26 
2 3 22 
2 24 25 
2 2 6 
2 20 15 
2 5 25 
2 20 24 
2 7 24 
2 7 24 
2 26 14 
2 20 9 
2 28 29 
2 17 3 
2 11 28 
2 5 24 
2 27 13 
2 16 14 
2 7 9 
2 19 27 
2 2 21 
2 0 29 
2 18 7 
2 19 7 
2 27 12 
2 2 24 
2 0 3 
2 18 23 
2 20 26 
2 7 14 
2 16 2 
2 23 25 
2 18 14 
2 5 21 
2 2 13 
2 0 21 
2 0 14 
2 0 23 
2 17 7 
2 23 8 
2 0 11 
2 18 6 
2 4 29 
2 3 22 
2 26 28 
2 27 14 
2 22 9 
2 4 20 
2 17 29 
2 25 29 
