15 true

11 13 2 14 1 18 1 9 19 19 15 14 8 15 15 
8 1 9 13 16 11 9 14 8 13 3 1 7 6 16 
13 8 18 7 1 12 9 8 18 9 9 8 8 17 7 
3 6 1 10 18 10 0 6 5 14 0 13 16 13 9 
3 10 1 14 3 12 14 6 11 11 9 18 3 5 0 
5 19 11 12 13 10 11 4 2 10 6 2 6 2 19 
2 15 15 13 9 4 17 5 5 10 3 1 2 4 2 
1 14 11 0 0 12 5 15 6 7 18 3 6 14 4 
3 5 14 4 11 4 2 19 16 13 16 6 7 1 1 
13 3 18 18 18 19 15 7 2 11 0 17 6 9 19 
0 19 0 5 15 7 9 16 3 4 9 9 4 12 13 
0 0 1 9 16 19 9 2 4 15 1 16 6 10 10 
10 7 0 5 19 11 8 7 7 19 10 0 2 2 12 
8 5 3 9 6 13 8 0 4 4 13 9 11 14 8 
11 7 14 17 16 17 9 2 8 13 2 19 8 9 2 

31 31 
2 5 6 
2 2 5 
2 7 14 
2 2 8 
2 0 3 
2 0 1 
2 7 13 
2 2 10 
2 5 12 
2 6 14 
2 3 10 
2 4 5 
2 6 10 
2 4 10 
2 2 14 
2 5 14 
2 3 7 
2 2 5 
2 3 10 
2 3 14 
2 1 10 
2 10 12 
2 2 7 
2 2 4 
2 5 8 
2 1 7 
2 11 12 
2 4 14 
2 0 2 
2 1 13 
2 5 10 

2 0 5 
2 11 13 
2 3 6 
2 13 14 
2 2 12 
2 4 5 
2 1 7 
2 5 12 
2 8 14 
2 7 13 
2 7 9 
2 6 7 
2 4 8 
2 1 5 
2 4 12 
2 0 12 
2 0 10 
2 1 4 
2 1 5 
2 8 14 
2 3 5 
2 6 14 
2 11 14 
2 6 12 
2 0 7 
2 7 12 
2 5 10 
2 10 12 
2 1 13 
2 8 13 
2 5 13 
