Percent_conflict     Time_linear    Status_solve_linear     Time_confComb    Status_solve_confComb
29     0      OPTIMAL     1      OPTIMAL
26     0      OPTIMAL     0      OPTIMAL
30     0      OPTIMAL     0      OPTIMAL
25     0      OPTIMAL     0      OPTIMAL
29     0      OPTIMAL     1      OPTIMAL
27     0      OPTIMAL     0      OPTIMAL
28     0      OPTIMAL     0      OPTIMAL
30     0      OPTIMAL     2      OPTIMAL
28     0      OPTIMAL     1      OPTIMAL
27     0      OPTIMAL     0      OPTIMAL
29     0      OPTIMAL     0      OPTIMAL
25     0      OPTIMAL     0      OPTIMAL
25     0      OPTIMAL     0      OPTIMAL
30     0      OPTIMAL     2      OPTIMAL
28     0      OPTIMAL     0      OPTIMAL
26     0      OPTIMAL     0      OPTIMAL
27     0      OPTIMAL     0      OPTIMAL
29     0      OPTIMAL     0      OPTIMAL
30     0      OPTIMAL     1      OPTIMAL
25     0      OPTIMAL     0      OPTIMAL
29     0      OPTIMAL     0      OPTIMAL
29     0      OPTIMAL     0      OPTIMAL
26     0      OPTIMAL     0      OPTIMAL
26     0      OPTIMAL     0      OPTIMAL
30     0      OPTIMAL     1      OPTIMAL
25     0      OPTIMAL     0      OPTIMAL
25     0      OPTIMAL     0      OPTIMAL
26     0      OPTIMAL     2      OPTIMAL
28     0      OPTIMAL     0      OPTIMAL
30     0      OPTIMAL     0      OPTIMAL
