23Percent_conflict     Time_linear    Status_solve_linear     Time_confComb    Status_solve_confComb
26     0      OPTIMAL     25      OPTIMAL
25     0      OPTIMAL     31      OPTIMAL
29     0      OPTIMAL     267      OPTIMAL
26     0      OPTIMAL     9      OPTIMAL
28     0      OPTIMAL     152      OPTIMAL
29     0      OPTIMAL     260      OPTIMAL
29     0      OPTIMAL     89      OPTIMAL
29     0      OPTIMAL     112      OPTIMAL
27     0      OPTIMAL     30      OPTIMAL
27     0      OPTIMAL     41      OPTIMAL
26     0      OPTIMAL     27      OPTIMAL
28     0      OPTIMAL     141      OPTIMAL
28     0      OPTIMAL     61      OPTIMAL
27     0      OPTIMAL     126      OPTIMAL
26     0      OPTIMAL     83      OPTIMAL
25     0      OPTIMAL     12      OPTIMAL
26     0      OPTIMAL     50      OPTIMAL
26     0      OPTIMAL     12      OPTIMAL
25     0      OPTIMAL     53      OPTIMAL
29     0      OPTIMAL     67      OPTIMAL
26     0      OPTIMAL     26      OPTIMAL
30     0      OPTIMAL     441      OPTIMAL
27     0      OPTIMAL     70      OPTIMAL
26     0      OPTIMAL     18      OPTIMAL
29     0      OPTIMAL     225      OPTIMAL
29     0      OPTIMAL     163      OPTIMAL
25     0      OPTIMAL     6      OPTIMAL
29     0      OPTIMAL     77      OPTIMAL
27     0      OPTIMAL     69      OPTIMAL
28     0      OPTIMAL     238      OPTIMAL
