Percent_conflict     Time_linear(с)    Status_solve_linear     Time_confComb(с)    Status_solve_confComb
25     0      OPTIMAL     297      OPTIMAL
25     0      OPTIMAL     155      OPTIMAL
29     0      OPTIMAL     1800      FEASIBLE
29     0      OPTIMAL     1799      FEASIBLE
28     0      OPTIMAL     825      OPTIMAL
27     0      OPTIMAL     330      OPTIMAL
25     0      OPTIMAL     139      OPTIMAL
30     0      OPTIMAL     1800      FEASIBLE
25     0      OPTIMAL     196      OPTIMAL
27     0      OPTIMAL     336      OPTIMAL
27     0      OPTIMAL     516      OPTIMAL
27     0      OPTIMAL     874      OPTIMAL
28     0      OPTIMAL     694      OPTIMAL
29     0      OPTIMAL     1800      FEASIBLE
27     0      OPTIMAL     1514      OPTIMAL
25     0      OPTIMAL     266      OPTIMAL
27     0      OPTIMAL     388      OPTIMAL
30     0      OPTIMAL     1799      FEASIBLE
26     0      OPTIMAL     398      OPTIMAL
26     0      OPTIMAL     872      OPTIMAL
30     0      OPTIMAL     1799      FEASIBLE
30     0      OPTIMAL     1799      FEASIBLE
30     0      OPTIMAL     1799      FEASIBLE
25     0      OPTIMAL     165      OPTIMAL
29     0      OPTIMAL     1759      OPTIMAL
29     0      OPTIMAL     521      OPTIMAL
30     0      OPTIMAL     1799      FEASIBLE
27     0      OPTIMAL     574      OPTIMAL
29     0      OPTIMAL     1800      FEASIBLE
28     0      OPTIMAL     1700      OPTIMAL
