Solver      Percent_conflict     Time_linear(с)    Status_solve_linear     Time_confComb(с)    Status_solve_confComb
GLOP     29     0      OPTIMAL     2220      OPTIMAL
PDLP     29     0      OPTIMAL     2128      OPTIMAL
GLOP     25     0      OPTIMAL     407      OPTIMAL
PDLP     25     0      OPTIMAL     411      OPTIMAL
GLOP     29     0      OPTIMAL     6078      OPTIMAL
PDLP     29     0      OPTIMAL     6007      OPTIMAL
GLOP     29     0      OPTIMAL     3745      OPTIMAL
PDLP     29     0      OPTIMAL     3746      OPTIMAL
GLOP     28     0      OPTIMAL     2236      OPTIMAL
PDLP     28     0      OPTIMAL     2212      OPTIMAL
GLOP     28     0      OPTIMAL     1380      OPTIMAL
PDLP     28     0      OPTIMAL     1348      OPTIMAL
GLOP     29     0      OPTIMAL     1799      OPTIMAL
PDLP     29     0      OPTIMAL     1797      OPTIMAL
GLOP     26     0      OPTIMAL     290      OPTIMAL
PDLP     26     0      OPTIMAL     284      OPTIMAL
GLOP     30     0      OPTIMAL     3789      OPTIMAL
PDLP     30     0      OPTIMAL     5228      OPTIMAL
GLOP     30     0      OPTIMAL     3895      OPTIMAL
PDLP     30     0      OPTIMAL     2411      OPTIMAL
