Solver      Percent_conflict     Time_linear    Status_solve_linear     Time_confComb    Status_solve_confComb
GLOP     28     0      OPTIMAL     7200      FEASIBLE
PDLP     28     0      OPTIMAL     7202      FEASIBLE
GLOP     26     0      OPTIMAL     2696      OPTIMAL
PDLP     26     0      OPTIMAL     2667      OPTIMAL
GLOP     27     0      OPTIMAL     7200      FEASIBLE
PDLP     27     0      OPTIMAL     7200      FEASIBLE
GLOP     28     0      OPTIMAL     7200      FEASIBLE
PDLP     28     0      OPTIMAL     7200      FEASIBLE
GLOP     26     0      OPTIMAL     7200      FEASIBLE
PDLP     26     0      OPTIMAL     7200      FEASIBLE
GLOP     29     0      OPTIMAL     7200      FEASIBLE
PDLP     29     0      OPTIMAL     7201      FEASIBLE
GLOP     25     0      OPTIMAL     4247      OPTIMAL
PDLP     25     0      OPTIMAL     2167      OPTIMAL
GLOP     26     0      OPTIMAL     6007      OPTIMAL
PDLP     26     0      OPTIMAL     3103      OPTIMAL
GLOP     26     0      OPTIMAL     7200      FEASIBLE
PDLP     26     0      OPTIMAL     7200      FEASIBLE
GLOP     27     0      OPTIMAL     7200      FEASIBLE
PDLP     27     0      OPTIMAL     7200      FEASIBLE
GLOP     26     0      OPTIMAL     808      OPTIMAL
PDLP     26     0      OPTIMAL     779      OPTIMAL
