35 true

9 10 19 13 7 10 3 13 11 1 8 16 13 1 18 11 19 18 7 17 2 16 12 6 7 13 1 7 15 2 15 0 9 13 4 
6 0 14 6 15 5 17 7 10 17 10 16 6 18 16 15 6 2 18 0 11 15 19 4 0 11 19 18 18 4 6 12 12 6 10 
1 18 16 6 6 16 15 8 1 4 5 19 16 18 1 7 9 13 3 6 6 2 3 11 8 7 13 14 11 14 12 0 14 5 2 
17 4 14 17 3 18 1 3 19 3 4 6 9 13 4 10 9 13 7 10 19 17 4 5 3 9 4 2 5 16 0 8 5 13 3 
0 4 19 15 14 14 0 15 13 9 0 19 18 18 5 5 3 4 17 5 8 5 17 15 4 2 10 4 8 13 1 9 9 18 7 
0 14 15 15 2 7 16 18 9 18 10 15 13 18 12 1 7 4 6 11 4 1 18 4 8 13 2 3 8 10 9 13 16 5 3 
6 4 14 18 6 14 18 0 18 10 5 2 10 3 5 14 7 15 7 0 19 8 17 4 5 1 1 5 1 0 4 9 19 15 8 
9 1 10 6 18 11 5 0 16 9 7 19 18 5 12 7 12 13 6 15 7 9 15 7 11 8 16 18 12 7 12 14 10 16 14 
7 1 6 19 5 0 16 16 1 16 1 4 13 15 19 5 13 0 12 9 10 0 0 9 11 0 11 18 2 11 5 13 3 9 18 
19 9 7 13 15 7 6 10 16 0 1 5 8 13 1 8 18 6 13 13 19 10 8 1 6 1 12 1 5 14 11 4 15 5 18 
18 18 5 13 17 15 15 17 0 8 10 3 17 14 10 5 4 13 17 12 6 9 5 10 10 3 15 6 11 6 15 9 14 1 7 
10 2 14 15 15 15 9 6 6 7 10 11 6 1 16 9 13 17 7 19 2 1 11 6 14 19 4 12 5 16 2 19 10 7 3 
8 10 8 7 1 0 13 10 12 19 5 8 6 12 12 5 9 4 16 10 11 3 16 14 1 0 16 15 18 13 12 5 12 4 4 
13 6 10 15 9 7 18 7 12 18 1 10 8 8 1 6 17 3 10 19 8 19 0 18 9 5 15 10 10 4 12 16 17 19 15 
1 1 9 2 8 17 0 6 16 4 7 5 19 6 5 9 4 18 12 14 5 4 16 11 7 17 2 14 6 18 8 19 7 6 17 
8 19 14 11 1 13 18 10 19 17 8 15 11 3 3 5 15 1 9 0 12 18 11 6 8 8 3 4 14 17 9 5 7 17 10 
7 3 15 3 8 15 5 5 6 17 0 8 14 1 1 6 18 12 14 1 10 16 4 2 7 19 4 8 17 10 10 0 19 5 19 
1 14 7 13 3 4 9 5 1 15 11 2 7 19 6 1 16 10 16 16 13 14 10 0 7 12 2 4 1 18 12 2 8 8 7 
0 11 6 13 12 5 6 1 3 0 8 15 8 3 17 13 3 8 6 9 17 17 19 1 9 19 5 12 15 4 4 8 11 3 18 
1 3 17 3 2 10 18 2 13 2 13 2 7 2 7 10 7 5 1 13 10 10 1 4 3 3 5 13 9 19 4 4 3 18 6 
5 12 7 14 17 18 8 5 19 17 0 1 11 3 6 2 2 8 9 5 4 5 19 1 12 1 3 19 2 1 13 9 4 9 4 
4 7 15 6 11 10 4 13 18 17 3 15 14 15 5 10 16 6 4 10 15 14 10 10 0 2 13 17 18 12 11 18 12 9 13 
18 17 19 19 14 19 17 10 11 15 5 1 7 9 10 3 12 5 9 16 2 1 9 16 3 11 15 16 18 9 16 5 9 2 16 
3 4 14 11 2 6 1 9 14 3 3 14 16 14 1 12 13 7 0 3 16 8 3 14 12 0 14 10 13 7 13 16 7 19 6 
5 2 9 15 16 6 5 2 8 17 18 11 5 2 18 2 19 17 15 2 15 1 3 18 11 4 0 13 9 0 19 16 2 13 9 
5 13 0 18 11 14 10 12 16 9 12 19 14 9 1 7 14 1 7 15 9 5 10 2 17 16 15 14 2 2 15 5 19 13 5 
11 4 19 10 2 12 5 19 17 7 6 9 6 6 2 15 2 19 2 4 14 15 1 6 13 7 6 0 6 6 8 2 19 10 10 
6 4 6 15 5 9 9 17 11 19 17 3 6 2 16 15 6 13 3 5 3 8 7 0 6 1 3 17 4 16 18 12 15 16 17 
16 9 17 13 4 3 7 14 14 5 9 19 18 14 16 18 9 16 14 5 13 16 7 8 15 5 5 15 5 1 5 15 13 15 7 
3 11 3 12 14 0 10 8 18 17 4 13 9 15 4 3 14 18 16 1 11 9 3 15 18 3 4 0 6 9 10 3 8 5 14 
14 2 13 7 4 16 10 11 11 12 17 2 13 6 19 12 17 3 14 2 0 4 15 3 13 3 3 3 0 5 10 18 11 8 13 
2 0 18 0 11 1 4 11 16 0 13 5 8 14 5 5 11 18 12 2 3 11 19 13 2 3 12 15 19 1 18 13 4 18 6 
6 16 2 2 10 12 13 18 14 16 14 3 15 10 19 12 10 8 10 4 17 17 1 9 0 6 10 2 5 16 18 15 0 9 18 
2 6 1 5 6 5 11 7 0 19 2 10 2 7 16 1 18 0 10 1 13 15 4 1 13 13 13 11 6 1 13 14 15 11 8 
7 8 15 4 11 11 9 2 1 17 5 10 1 8 13 6 3 15 10 1 14 4 2 13 13 6 8 17 18 5 8 1 1 8 19 

166 166 
2 0 13 
2 23 25 
2 5 15 
2 16 13 
2 16 1 
2 11 27 
2 20 5 
2 4 24 
2 33 29 
2 19 12 
2 17 13 
2 11 13 
2 12 31 
2 33 2 
2 32 4 
2 4 7 
2 21 8 
2 17 29 
2 18 8 
2 25 27 
2 17 11 
2 28 29 
2 17 11 
2 21 6 
2 1 31 
2 19 5 
2 2 8 
2 33 7 
2 34 30 
2 21 13 
2 7 30 
2 17 8 
2 6 24 
2 8 11 
2 9 31 
2 22 24 
2 5 11 
2 4 21 
2 33 13 
2 0 23 
2 0 21 
2 17 12 
2 22 29 
2 27 30 
2 17 22 
2 20 6 
2 14 30 
2 32 26 
2 32 26 
2 17 11 
2 20 13 
2 6 7 
2 0 18 
2 34 9 
2 9 13 
2 18 9 
2 33 26 
2 0 28 
2 23 12 
2 10 30 
2 22 8 
2 7 25 
2 18 4 
2 4 12 
2 18 4 
2 19 26 
2 7 24 
2 12 15 
2 30 31 
2 33 7 
2 1 9 
2 24 30 
2 9 29 
2 32 23 
2 28 14 
2 11 15 
2 1 11 
2 16 12 
2 6 9 
2 26 13 
2 20 28 
2 18 7 
2 26 12 
2 3 26 
2 8 11 
2 5 7 
2 32 8 
2 33 12 
2 17 23 
2 32 12 
2 3 30 
2 5 31 
2 2 8 
2 11 13 
2 2 27 
2 23 31 
2 33 31 
2 25 13 
2 23 11 
2 17 29 
2 4 9 
2 33 34 
2 9 26 
2 0 5 
2 32 12 
2 27 31 
2 20 25 
2 10 30 
2 19 4 
2 16 4 
2 8 9 
2 33 11 
2 7 8 
2 32 8 
2 16 5 
2 34 23 
2 14 31 
2 21 11 
2 30 31 
2 32 19 
2 3 5 
2 22 27 
2 11 12 
2 18 5 
2 33 18 
2 21 26 
2 4 26 
2 22 14 
2 0 1 
2 0 25 
2 18 5 
2 24 29 
2 10 12 
2 16 14 
2 7 13 
2 24 27 
2 25 31 
2 22 28 
2 33 21 
2 0 4 
2 7 11 
2 27 31 
2 34 10 
2 24 25 
2 16 22 
2 4 31 
2 32 19 
2 16 28 
2 21 15 
2 18 25 
2 14 31 
2 6 14 
2 7 8 
2 7 8 
2 2 19 
2 6 28 
2 21 23 
2 22 13 
2 1 31 
2 24 30 
2 32 18 
2 21 14 
2 17 3 
2 16 31 
2 4 5 
2 2 6 

2 28 29 
2 29 31 
2 20 10 
2 3 23 
2 34 26 
2 18 5 
2 6 13 
2 17 28 
2 17 9 
2 16 3 
2 32 12 
2 29 14 
2 33 19 
2 19 25 
2 8 13 
2 5 15 
2 18 12 
2 28 29 
2 7 10 
2 16 9 
2 4 5 
2 20 11 
2 6 22 
2 21 27 
2 1 34 
2 5 21 
2 8 9 
2 32 21 
2 33 5 
2 8 31 
2 19 8 
2 34 25 
2 8 31 
2 7 13 
2 13 15 
2 7 31 
2 1 8 
2 21 28 
2 11 28 
2 0 33 
2 12 14 
2 25 26 
2 4 15 
2 16 11 
2 34 26 
2 34 12 
2 33 19 
2 7 28 
2 21 31 
2 0 2 
2 29 14 
2 25 11 
2 3 23 
2 6 28 
2 4 29 
2 9 29 
2 17 14 
2 25 11 
2 4 11 
2 34 3 
2 34 4 
2 19 28 
2 5 15 
2 6 30 
2 20 11 
2 1 2 
2 1 4 
2 1 30 
2 4 5 
2 8 26 
2 33 7 
2 24 11 
2 16 3 
2 4 24 
2 8 15 
2 34 4 
2 16 32 
2 7 10 
2 16 33 
2 32 11 
2 32 10 
2 21 11 
2 34 21 
2 4 22 
2 24 10 
2 32 19 
2 2 23 
2 17 18 
2 4 31 
2 2 23 
2 11 15 
2 2 6 
2 0 4 
2 7 31 
2 34 26 
2 22 7 
2 5 13 
2 21 22 
2 5 28 
2 5 7 
2 20 30 
2 3 23 
2 0 22 
2 5 31 
2 4 23 
2 18 24 
2 33 6 
2 6 31 
2 3 22 
2 4 26 
2 1 6 
2 16 17 
2 6 31 
2 25 11 
2 0 18 
2 1 12 
2 17 4 
2 1 18 
2 32 1 
2 11 12 
2 34 12 
2 32 9 
2 19 14 
2 24 26 
2 6 8 
2 3 14 
2 2 13 
2 34 15 
2 32 7 
2 26 31 
2 34 13 
2 2 21 
2 33 10 
2 19 21 
2 17 9 
2 22 13 
2 19 3 
2 28 31 
2 20 12 
2 21 9 
2 25 10 
2 34 26 
2 9 13 
2 2 15 
2 34 14 
2 21 24 
2 25 11 
2 27 28 
2 17 18 
2 32 22 
2 4 30 
2 27 31 
2 17 14 
2 19 6 
2 18 28 
2 24 25 
2 18 3 
2 2 23 
2 0 2 
2 0 18 
2 17 26 
2 6 7 
2 33 28 
2 20 13 
2 33 18 
2 4 15 
