30 true

14 11 0 17 7 6 17 1 6 11 13 6 18 19 1 10 0 17 17 9 4 1 19 15 15 11 17 13 17 10 
17 7 6 4 5 6 4 6 8 6 2 18 3 2 12 9 9 8 0 11 18 10 9 5 5 19 12 17 12 19 
4 5 3 19 14 6 19 14 2 13 19 19 19 16 1 19 8 16 19 12 11 5 0 7 5 16 8 1 7 16 
5 9 19 15 15 12 5 9 16 1 3 15 2 5 17 5 17 17 0 8 5 15 14 13 16 12 10 13 9 13 
14 18 10 5 1 19 13 8 4 0 12 12 4 11 12 12 12 13 7 7 1 11 17 5 5 4 12 17 6 5 
15 5 18 11 14 7 9 11 16 19 10 7 10 13 10 10 7 18 5 5 17 8 12 17 1 12 3 11 18 9 
18 7 5 6 14 13 5 1 15 5 14 10 3 8 17 15 16 4 4 13 7 0 12 18 19 10 8 17 16 8 
2 14 12 11 2 13 19 10 9 18 13 13 5 12 0 12 14 13 12 13 7 14 13 3 18 18 9 13 7 17 
15 10 8 16 4 5 14 11 7 9 12 13 11 13 4 7 5 12 18 15 4 0 7 18 7 13 3 18 3 5 
15 7 1 15 16 3 1 8 9 8 2 17 10 10 1 14 0 14 3 17 9 2 5 9 10 6 12 8 1 15 
14 10 3 1 10 10 9 6 5 0 7 0 16 13 15 2 3 11 10 16 3 4 11 17 12 10 6 9 1 3 
17 2 0 17 17 15 12 19 8 17 14 11 0 14 12 6 16 18 7 11 15 4 6 10 16 16 3 14 8 0 
18 1 1 16 9 8 15 2 5 17 17 8 19 14 9 13 0 3 7 4 17 5 15 1 18 16 13 16 4 17 
3 17 16 13 3 8 15 1 17 17 1 16 9 6 1 11 15 7 17 5 9 15 3 18 10 18 16 16 1 14 
4 10 11 8 15 2 2 7 4 4 7 13 10 9 0 8 16 12 1 9 13 9 14 10 18 14 1 16 19 13 
14 15 14 0 4 10 0 15 3 0 10 0 19 10 2 1 1 2 14 8 13 6 10 1 15 6 18 17 15 6 
11 13 12 19 1 9 17 9 4 17 17 10 17 4 12 2 7 19 19 18 4 12 17 13 17 13 0 4 2 9 
16 16 15 0 19 8 3 4 13 1 12 0 4 9 9 4 13 7 2 0 8 8 12 0 4 18 6 6 10 16 
16 16 5 16 9 4 0 18 6 8 7 11 14 6 15 5 5 5 14 16 7 2 2 0 12 9 13 4 10 0 
8 0 1 0 17 12 5 16 3 13 1 12 5 14 15 1 0 6 8 6 15 2 15 10 15 2 8 19 0 19 
19 5 4 2 1 6 5 7 18 2 3 3 7 0 17 7 19 13 8 7 1 17 14 10 7 3 12 19 10 2 
5 14 7 15 17 19 1 10 12 18 1 18 2 4 11 9 15 18 3 17 10 17 2 15 12 4 6 13 19 8 
0 13 0 5 6 6 19 9 10 5 1 8 14 1 19 14 4 2 12 2 19 6 19 10 2 6 10 16 1 6 
15 5 1 14 5 13 14 17 16 4 5 0 6 4 1 9 15 3 11 8 2 6 7 18 3 1 0 17 10 9 
9 9 6 10 18 19 15 0 4 10 7 9 1 3 10 1 6 3 15 9 6 6 16 5 7 13 3 1 18 0 
0 7 7 9 10 11 8 18 2 3 16 5 6 12 5 6 5 14 6 15 7 11 18 3 15 18 13 7 19 19 
8 13 9 12 18 4 13 10 1 15 9 8 18 12 3 1 8 17 6 0 2 11 7 8 8 14 1 11 12 4 
14 1 11 12 1 17 12 15 14 19 0 4 18 12 18 15 19 12 18 6 8 3 7 5 0 12 12 11 8 8 
4 13 10 12 12 5 12 3 16 3 2 15 13 19 5 7 10 2 3 19 12 19 0 6 10 16 2 11 8 12 
19 2 7 14 12 2 3 5 8 13 8 3 13 12 4 13 11 11 11 10 9 9 0 1 0 14 7 15 7 13 

108 108 
2 16 26 
2 23 15 
2 28 13 
2 19 26 
2 16 19 
2 4 28 
2 24 25 
2 6 28 
2 21 27 
2 5 7 
2 27 14 
2 9 10 
2 1 26 
2 0 12 
2 22 25 
2 21 27 
2 4 8 
2 6 15 
2 20 24 
2 5 9 
2 22 11 
2 2 4 
2 6 29 
2 27 12 
2 5 7 
2 17 26 
2 20 21 
2 9 10 
2 25 11 
2 20 27 
2 27 28 
2 9 15 
2 23 29 
2 24 10 
2 4 5 
2 4 13 
2 8 28 
2 4 9 
2 7 13 
2 26 12 
2 19 27 
2 18 6 
2 10 26 
2 20 28 
2 6 28 
2 0 27 
2 1 11 
2 22 6 
2 2 20 
2 28 13 
2 21 7 
2 17 3 
2 4 21 
2 0 23 
2 4 26 
2 19 29 
2 4 13 
2 1 13 
2 23 9 
2 8 14 
2 16 22 
2 9 15 
2 3 8 
2 20 24 
2 20 8 
2 2 4 
2 3 21 
2 25 28 
2 17 10 
2 16 11 
2 0 15 
2 16 25 
2 2 19 
2 16 14 
2 20 26 
2 2 9 
2 2 8 
2 0 9 
2 0 10 
2 2 7 
2 17 23 
2 8 12 
2 16 26 
2 1 21 
2 3 11 
2 7 14 
2 6 15 
2 4 7 
2 5 15 
2 16 27 
2 7 15 
2 1 26 
2 27 13 
2 18 22 
2 27 14 
2 1 28 
2 19 29 
2 17 15 
2 2 7 
2 22 29 
2 2 3 
2 3 5 
2 25 10 
2 8 28 
2 2 25 
2 17 2 
2 24 14 
2 1 7 

2 5 10 
2 21 13 
2 1 26 
2 1 12 
2 4 21 
2 4 10 
2 10 12 
2 24 14 
2 16 4 
2 19 28 
2 12 14 
2 22 23 
2 21 11 
2 3 8 
2 4 28 
2 9 13 
2 20 8 
2 29 14 
2 27 15 
2 27 28 
2 17 3 
2 28 29 
2 19 4 
2 17 7 
2 5 9 
2 20 24 
2 0 23 
2 16 12 
2 3 26 
2 3 25 
2 8 9 
2 6 7 
2 18 29 
2 10 14 
2 22 29 
2 21 25 
2 21 13 
2 6 29 
2 2 5 
2 22 11 
2 0 3 
2 10 27 
2 2 18 
2 22 11 
2 16 20 
2 19 8 
2 27 29 
2 21 5 
2 1 23 
2 11 15 
2 8 13 
2 23 14 
2 3 10 
2 2 29 
2 17 15 
2 23 26 
2 29 13 
2 3 11 
2 3 22 
2 18 22 
2 0 13 
2 26 15 
2 18 6 
2 19 21 
2 5 10 
2 5 12 
2 13 29 
2 25 11 
2 20 12 
2 2 7 
2 26 13 
2 21 23 
2 17 23 
2 7 12 
2 12 14 
2 12 29 
2 20 29 
2 17 13 
2 21 27 
2 21 27 
2 2 22 
2 1 23 
2 16 26 
2 1 10 
2 20 5 
2 19 9 
2 2 11 
2 12 13 
2 10 15 
2 4 8 
2 0 10 
2 1 3 
2 0 17 
2 0 20 
2 24 12 
2 4 25 
2 9 29 
2 0 1 
2 1 26 
2 4 23 
2 17 2 
2 2 19 
2 16 3 
2 4 22 
2 11 14 
2 17 6 
2 17 5 
2 11 12 
