40 true

7 3 3 8 16 14 16 19 8 1 18 14 6 19 19 17 4 18 1 11 0 19 16 9 12 12 8 9 17 10 17 14 7 18 9 5 0 16 2 11 
11 16 14 5 0 4 9 17 10 14 16 2 8 9 1 2 0 4 11 16 7 18 17 15 10 13 8 3 18 17 4 11 16 12 2 11 10 10 12 17 
6 19 10 7 4 4 8 14 0 11 1 14 13 15 5 8 4 7 18 12 19 7 11 3 5 8 5 15 11 19 1 4 9 0 12 6 17 1 3 10 
2 16 16 9 14 7 12 2 15 0 13 8 2 11 13 7 12 10 8 9 16 4 0 17 14 9 7 2 7 6 6 5 7 18 19 7 16 16 19 3 
11 0 1 2 1 2 0 7 2 10 10 14 16 8 16 18 2 4 12 3 19 7 17 15 7 1 11 3 9 14 15 2 0 14 12 10 0 17 1 5 
9 9 15 3 5 7 8 13 5 16 9 10 18 2 3 17 5 4 15 9 13 14 7 18 12 9 0 18 12 10 19 1 18 19 1 4 5 7 13 9 
10 12 11 19 17 11 6 19 8 1 13 10 5 7 9 15 8 16 15 3 1 12 6 5 7 0 17 3 10 12 0 13 16 16 8 13 7 7 14 8 
2 15 5 18 1 17 16 14 6 11 15 0 4 7 11 13 8 19 11 9 13 1 12 15 8 9 9 7 6 0 8 17 7 13 9 12 5 3 19 19 
9 13 7 3 18 17 12 14 0 3 9 7 9 18 17 11 19 19 10 13 15 9 3 14 2 17 18 5 11 4 18 10 8 7 10 0 4 2 4 9 
18 15 17 18 6 3 16 5 19 9 9 9 5 0 3 9 12 13 2 12 16 3 16 2 12 12 3 18 17 4 12 5 15 5 7 5 13 0 18 18 
12 13 18 17 15 3 19 16 16 16 9 0 2 7 17 10 18 13 7 10 14 13 9 18 10 6 12 1 0 13 12 4 7 16 12 14 17 14 4 16 
2 12 8 4 10 5 6 3 7 2 0 4 11 15 14 11 5 17 19 16 15 8 3 2 13 16 1 9 2 13 1 19 11 15 1 19 5 5 2 8 
14 8 15 16 19 2 9 1 0 16 19 9 12 1 5 1 3 15 4 3 1 1 14 4 3 5 13 3 13 1 11 18 14 0 5 7 10 4 14 13 
2 18 19 10 8 17 12 11 9 7 14 9 14 2 2 4 15 19 15 2 0 11 15 5 7 0 10 5 6 12 6 15 3 12 1 2 8 15 1 13 
11 9 16 8 17 0 6 8 3 12 4 10 3 12 2 1 19 6 3 6 11 2 0 18 0 19 15 9 6 4 18 10 9 9 4 4 8 16 9 5 
9 1 14 6 4 2 6 5 12 8 1 15 9 4 12 14 7 4 17 19 9 7 4 13 6 5 11 16 7 15 3 8 18 6 12 19 2 11 8 6 
19 6 0 15 7 9 1 1 14 6 16 3 4 16 11 12 0 5 16 5 6 5 0 11 18 11 7 4 12 8 0 14 7 3 14 12 14 18 3 0 
14 17 16 16 8 17 6 2 19 2 6 11 8 13 10 7 5 0 16 16 0 10 7 10 19 10 6 19 2 18 15 10 11 7 5 7 19 15 5 15 
7 9 19 5 6 12 14 15 14 14 7 1 10 0 7 2 3 10 12 14 12 3 3 18 9 11 7 13 5 9 13 11 3 9 10 5 5 4 11 6 
2 14 19 10 3 14 8 13 3 1 17 14 2 1 4 18 1 13 3 3 10 7 2 10 15 6 18 9 2 9 0 3 8 0 0 7 8 13 19 18 
6 5 9 7 8 12 6 12 0 14 2 2 10 3 19 16 15 8 0 18 14 11 5 1 13 13 2 8 9 18 7 14 4 13 9 19 10 3 11 18 
0 9 15 17 13 17 1 11 2 1 1 3 13 5 13 12 3 6 19 9 4 0 8 17 0 6 5 16 7 7 1 16 18 4 7 10 12 4 7 12 
19 0 4 0 3 14 4 0 13 3 9 3 7 7 5 9 9 13 3 16 8 1 18 6 4 8 8 7 8 12 12 4 5 9 5 17 12 10 12 15 
9 17 16 8 12 0 5 10 11 3 8 3 17 12 15 4 3 15 16 2 19 13 4 18 13 6 16 6 13 2 0 17 9 8 10 5 15 2 12 14 
8 4 12 16 4 3 10 0 19 6 19 18 2 8 4 3 1 12 9 1 19 17 2 11 11 6 0 15 18 12 4 6 8 10 11 11 3 1 11 0 
11 5 2 7 2 19 8 15 4 18 0 13 19 13 6 11 7 2 1 17 12 12 10 6 4 2 8 13 11 12 12 12 1 6 4 1 19 0 8 4 
2 7 1 12 18 3 14 0 18 4 14 6 2 5 4 10 10 13 0 4 4 5 0 10 11 2 1 14 14 1 10 3 9 6 3 18 7 4 10 6 
11 9 18 16 9 5 18 0 5 13 7 3 2 18 1 10 11 15 3 7 10 9 12 12 0 9 4 3 5 11 8 6 1 18 8 8 15 2 1 2 
17 18 2 8 11 11 15 0 17 3 9 6 5 10 10 11 1 1 6 19 3 9 13 9 5 15 14 2 14 3 14 16 4 14 3 7 12 16 3 14 
7 11 13 0 0 14 15 6 12 3 15 3 10 6 19 19 11 17 2 12 0 12 18 10 0 1 11 15 3 9 6 12 18 6 15 11 7 3 0 4 
12 10 6 5 9 19 9 5 15 10 17 19 13 6 16 9 2 12 18 6 7 17 0 2 15 14 0 6 9 12 8 16 14 10 1 19 17 19 12 9 
7 12 12 1 11 17 14 18 13 1 15 12 11 2 14 18 2 7 6 8 14 12 19 9 9 8 0 13 1 13 13 9 1 17 12 5 13 7 6 14 
11 13 4 19 2 3 4 5 11 8 11 1 7 5 9 12 18 7 19 1 18 17 4 3 11 1 7 9 19 0 2 4 1 13 3 10 5 9 8 1 
19 12 17 19 5 9 7 10 8 12 5 19 0 19 10 4 15 7 12 18 8 15 18 14 16 7 15 19 5 7 8 1 9 14 1 11 2 16 3 18 
18 5 6 2 16 15 18 18 9 9 15 14 5 3 14 9 6 15 13 2 13 5 2 10 16 13 16 1 5 5 17 2 16 2 15 10 8 14 15 5 
6 12 5 0 6 7 5 10 15 11 9 5 9 11 3 8 18 17 13 11 4 19 9 16 18 1 19 19 12 15 7 3 10 6 18 0 1 19 5 15 
14 16 16 18 8 0 4 14 17 2 18 16 11 9 16 1 3 12 6 8 12 0 5 7 14 10 1 6 9 0 8 8 2 6 4 11 8 13 5 7 
15 11 2 11 16 8 6 18 4 9 4 16 1 0 13 16 1 11 16 12 3 19 0 13 10 5 14 3 1 16 2 7 6 3 15 11 4 17 6 12 
10 4 3 5 17 17 4 2 17 10 18 8 12 0 13 10 8 4 13 15 10 18 1 7 6 14 14 11 19 5 13 17 16 14 4 18 11 6 15 11 
12 5 19 12 15 18 2 16 13 14 11 12 3 4 16 3 1 0 8 16 8 7 1 16 14 9 8 3 19 16 18 8 7 15 14 18 4 2 2 6 

234 234 
2 4 5 
2 32 25 
2 16 13 
2 18 7 
2 4 38 
2 34 20 
2 18 13 
2 32 2 
2 33 1 
2 21 26 
2 33 23 
2 18 26 
2 26 30 
2 12 29 
2 34 37 
2 37 23 
2 32 9 
2 12 15 
2 36 6 
2 1 11 
2 36 15 
2 34 39 
2 1 2 
2 16 8 
2 0 20 
2 16 13 
2 4 7 
2 39 14 
2 16 19 
2 22 11 
2 18 34 
2 37 29 
2 8 25 
2 39 11 
2 20 6 
2 32 4 
2 24 10 
2 16 5 
2 24 29 
2 18 6 
2 2 8 
2 37 26 
2 25 27 
2 33 17 
2 2 15 
2 36 11 
2 17 3 
2 28 15 
2 32 10 
2 22 14 
2 8 11 
2 8 29 
2 39 9 
2 3 26 
2 32 1 
2 33 5 
2 33 20 
2 9 11 
2 11 27 
2 34 30 
2 13 30 
2 38 23 
2 33 29 
2 0 9 
2 0 31 
2 2 10 
2 3 5 
2 32 21 
2 18 21 
2 3 11 
2 16 20 
2 0 39 
2 18 38 
2 33 22 
2 23 29 
2 5 29 
2 24 26 
2 32 3 
2 39 7 
2 19 9 
2 37 13 
2 18 35 
2 24 13 
2 18 38 
2 7 24 
2 35 31 
2 36 38 
2 2 36 
2 16 12 
2 12 28 
2 7 13 
2 39 14 
2 10 14 
2 28 29 
2 7 12 
2 18 14 
2 9 27 
2 17 36 
2 3 24 
2 35 37 
2 19 23 
2 37 26 
2 32 29 
2 32 21 
2 7 26 
2 6 23 
2 2 4 
2 20 6 
2 1 33 
2 32 22 
2 11 28 
2 35 26 
2 0 27 
2 19 13 
2 2 23 
2 38 15 
2 4 9 
2 13 31 
2 32 26 
2 4 6 
2 18 30 
2 24 12 
2 34 7 
2 23 27 
2 17 2 
2 7 11 
2 36 21 
2 36 39 
2 33 4 
2 32 30 
2 8 12 
2 20 8 
2 32 20 
2 3 5 
2 32 12 
2 37 12 
2 4 10 
2 34 29 
2 2 4 
2 16 11 
2 2 27 
2 27 13 
2 35 6 
2 37 25 
2 34 15 
2 19 15 
2 7 14 
2 23 10 
2 32 39 
2 33 20 
2 23 39 
2 0 34 
2 16 27 
2 37 31 
2 4 5 
2 36 4 
2 34 26 
2 0 7 
2 33 9 
2 4 39 
2 0 10 
2 37 13 
2 39 26 
2 11 27 
2 0 29 
2 32 3 
2 36 4 
2 5 31 
2 39 12 
2 7 11 
2 0 38 
2 12 15 
2 37 30 
2 17 18 
2 21 22 
2 21 10 
2 18 35 
2 28 12 
2 1 7 
2 1 10 
2 39 30 
2 3 13 
2 6 7 
2 18 10 
2 1 30 
2 4 7 
2 38 26 
2 0 23 
2 2 10 
2 6 24 
2 1 5 
2 10 29 
2 21 30 
2 15 31 
2 4 6 
2 0 7 
2 8 26 
2 36 8 
2 25 13 
2 35 14 
2 17 38 
2 34 24 
2 22 24 
2 22 12 
2 1 39 
2 19 12 
2 18 37 
2 6 29 
2 1 13 
2 36 28 
2 35 5 
2 27 28 
2 26 12 
2 8 14 
2 32 38 
2 3 30 
2 38 7 
2 2 11 
2 5 26 
2 22 31 
2 36 13 
2 1 24 
2 17 35 
2 20 21 
2 34 14 
2 38 9 
2 27 31 
2 5 6 
2 30 15 
2 38 26 
2 21 12 
2 34 15 
2 6 15 
2 3 12 

2 35 6 
2 8 9 
2 26 12 
2 18 6 
2 2 5 
2 4 27 
2 16 38 
2 1 5 
2 0 23 
2 6 39 
2 7 9 
2 1 38 
2 28 14 
2 16 34 
2 17 2 
2 22 39 
2 38 26 
2 10 31 
2 6 25 
2 16 19 
2 19 23 
2 18 24 
2 17 38 
2 24 12 
2 9 31 
2 0 14 
2 8 30 
2 2 14 
2 17 8 
2 9 13 
2 3 38 
2 0 9 
2 7 29 
2 2 29 
2 0 21 
2 4 38 
2 10 14 
2 37 7 
2 37 23 
2 2 24 
2 21 24 
2 24 8 
2 18 9 
2 37 30 
2 6 8 
2 16 3 
2 17 21 
2 3 10 
2 9 14 
2 5 14 
2 0 28 
2 35 14 
2 7 12 
2 32 34 
2 5 38 
2 22 23 
2 28 31 
2 21 7 
2 20 25 
2 1 17 
2 24 13 
2 1 7 
2 22 12 
2 26 10 
2 1 8 
2 20 29 
2 27 15 
2 17 2 
2 18 30 
2 5 10 
2 39 27 
2 33 10 
2 37 26 
2 32 37 
2 18 36 
2 33 20 
2 32 37 
2 25 28 
2 4 37 
2 8 12 
2 32 27 
2 18 19 
2 0 32 
2 38 10 
2 8 9 
2 2 20 
2 3 37 
2 33 38 
2 19 28 
2 3 25 
2 0 17 
2 16 32 
2 9 11 
2 36 20 
2 17 13 
2 18 38 
2 22 30 
2 25 26 
2 32 10 
2 35 37 
2 7 30 
2 13 31 
2 38 7 
2 4 26 
2 1 26 
2 0 38 
2 2 36 
2 11 12 
2 18 30 
2 0 20 
2 32 5 
2 17 22 
2 5 28 
2 16 9 
2 20 6 
2 37 11 
2 23 7 
2 21 10 
2 0 14 
2 36 10 
2 22 11 
2 16 21 
2 1 10 
2 9 10 
2 33 4 
2 36 31 
2 18 5 
2 9 11 
2 32 18 
2 35 3 
2 34 9 
2 38 26 
2 18 14 
2 32 13 
2 21 39 
2 32 5 
2 33 25 
2 37 23 
2 25 28 
2 32 18 
2 6 10 
2 7 27 
2 33 2 
2 19 28 
2 25 10 
2 18 19 
2 3 26 
2 5 10 
2 22 6 
2 36 30 
2 37 25 
2 3 29 
2 4 6 
2 36 21 
2 4 29 
2 25 26 
2 32 20 
2 18 10 
2 1 24 
2 0 34 
2 2 38 
2 20 38 
2 4 30 
2 8 25 
2 7 13 
2 0 18 
2 1 6 
2 38 29 
2 8 11 
2 9 12 
2 25 31 
2 24 9 
2 33 29 
2 5 39 
2 29 31 
2 3 5 
2 2 3 
2 26 14 
2 17 22 
2 29 15 
2 28 13 
2 26 30 
2 33 2 
2 2 23 
2 32 20 
2 5 24 
2 16 31 
2 24 13 
2 16 6 
2 34 23 
2 39 30 
2 18 8 
2 4 29 
2 36 31 
2 16 29 
2 26 29 
2 8 15 
2 39 15 
2 33 24 
2 27 15 
2 21 13 
2 24 14 
2 5 9 
2 21 25 
2 38 26 
2 18 28 
2 22 29 
2 5 27 
2 22 11 
2 2 5 
2 35 26 
2 20 39 
2 20 6 
2 17 19 
2 9 28 
2 17 7 
2 2 21 
2 1 8 
2 20 7 
2 35 8 
2 12 14 
2 6 28 
2 3 8 
2 17 37 
2 39 24 
2 33 4 
2 8 12 
2 7 12 
2 23 14 
2 5 10 
2 33 30 
2 13 30 
2 25 10 
2 21 29 
