30 true

18 7 7 4 8 7 19 12 16 10 1 8 1 16 8 16 1 2 8 8 5 3 8 2 18 3 16 0 13 9 
8 12 7 9 18 8 6 5 14 10 6 0 11 15 13 1 9 17 12 11 18 11 19 7 3 3 14 4 9 9 
4 15 16 1 17 0 6 7 0 0 2 15 19 1 4 19 1 4 7 7 16 6 17 16 1 7 19 13 15 5 
9 1 5 10 4 4 5 18 3 19 3 10 1 5 15 4 16 19 15 3 14 12 7 10 10 18 4 15 15 12 
0 15 19 14 18 12 18 1 15 18 10 13 12 3 4 10 6 17 13 1 6 19 7 7 10 13 1 14 18 19 
18 13 8 10 10 1 18 19 8 17 17 10 9 15 11 19 3 4 16 15 7 9 17 5 5 16 9 10 7 15 
11 14 13 6 19 0 19 7 10 12 11 14 7 15 2 18 12 15 13 10 18 2 1 1 15 0 15 6 3 7 
14 18 5 14 6 14 12 1 10 19 19 0 11 7 18 10 11 10 16 11 8 9 19 2 11 8 6 12 12 13 
16 16 18 9 3 1 9 4 17 2 19 9 16 8 8 11 17 5 9 16 13 7 10 19 0 1 14 1 0 10 
4 4 11 18 11 7 1 8 18 1 18 18 1 2 14 12 6 9 9 16 16 6 7 6 4 1 8 16 3 7 
16 11 11 5 16 14 10 3 15 1 0 7 4 15 3 9 11 12 0 5 5 6 18 3 16 16 12 16 0 15 
10 19 0 17 10 7 18 13 5 17 6 15 5 6 11 1 16 5 15 2 5 0 19 6 8 16 7 1 10 6 
11 7 13 18 5 7 11 2 18 2 12 13 5 2 19 9 13 6 18 13 17 5 5 12 10 9 4 18 15 18 
16 18 8 1 16 15 8 9 16 5 12 0 7 16 2 3 0 16 9 10 4 2 9 7 12 14 9 16 9 5 
19 1 12 7 19 2 1 1 12 13 2 19 17 4 12 16 2 14 14 6 6 5 0 8 12 10 9 17 14 7 
1 6 16 13 17 17 6 2 4 17 6 10 7 7 16 8 0 9 15 15 6 6 10 16 5 15 7 5 6 5 
17 12 14 12 10 8 9 6 12 19 18 2 5 4 5 0 2 3 6 18 19 16 2 13 6 12 14 9 0 18 
18 12 1 9 3 17 10 19 3 12 2 12 4 3 17 11 3 4 14 7 7 3 15 11 14 2 6 2 17 14 
9 11 7 17 18 9 5 2 17 15 18 2 2 1 4 6 12 13 4 3 0 9 1 13 18 18 0 4 0 6 
18 6 7 17 3 8 5 13 6 19 12 10 2 17 16 3 5 5 13 4 14 16 2 2 15 15 18 19 17 6 
18 4 16 12 8 17 14 11 1 14 11 14 9 14 11 1 2 11 6 19 17 0 19 3 12 6 14 19 6 10 
6 9 0 4 4 8 8 13 11 10 2 19 15 6 13 4 9 12 18 0 0 9 15 13 17 18 15 17 4 14 
14 7 12 14 12 1 10 8 7 10 1 7 17 4 3 13 2 15 19 13 19 3 12 6 14 16 12 8 9 6 
1 10 15 14 6 11 13 13 19 1 6 17 8 0 16 15 14 7 11 16 5 17 9 13 0 15 15 10 4 1 
19 18 10 0 8 17 10 2 5 4 5 5 7 12 14 12 11 7 2 16 8 5 10 7 3 4 18 14 2 10 
4 1 9 13 1 10 12 2 14 9 2 3 12 4 10 13 16 7 14 17 9 5 10 0 12 15 2 10 14 5 
19 13 18 0 2 11 5 10 15 7 1 9 11 1 10 5 19 9 13 17 9 15 10 16 1 0 13 11 4 11 
14 7 11 17 17 15 18 1 12 18 10 6 3 13 9 9 4 1 0 14 12 13 5 12 3 13 4 10 19 5 
14 2 14 13 3 3 4 11 11 5 12 1 4 12 15 9 4 0 19 16 11 16 17 3 19 14 6 11 16 9 
7 15 10 3 14 1 13 19 15 6 17 19 8 0 7 14 0 12 8 4 3 15 1 10 3 11 7 12 11 14 

130 130 
2 19 8 
2 1 5 
2 26 13 
2 2 7 
2 19 21 
2 3 11 
2 20 4 
2 1 18 
2 19 14 
2 23 11 
2 18 10 
2 4 12 
2 21 7 
2 1 10 
2 5 25 
2 3 10 
2 20 12 
2 3 12 
2 20 29 
2 28 15 
2 6 14 
2 22 9 
2 1 15 
2 0 6 
2 21 6 
2 17 1 
2 19 20 
2 2 10 
2 22 12 
2 17 4 
2 5 8 
2 4 12 
2 20 29 
2 6 24 
2 18 12 
2 22 27 
2 22 29 
2 19 25 
2 23 24 
2 6 8 
2 22 8 
2 19 15 
2 17 10 
2 2 7 
2 17 21 
2 23 25 
2 21 9 
2 1 29 
2 23 15 
2 19 14 
2 4 7 
2 25 12 
2 3 29 
2 24 26 
2 2 18 
2 17 3 
2 4 9 
2 7 27 
2 16 5 
2 3 15 
2 12 28 
2 18 28 
2 0 20 
2 8 12 
2 4 11 
2 17 23 
2 6 8 
2 25 13 
2 18 9 
2 24 10 
2 22 24 
2 17 6 
2 16 7 
2 3 7 
2 4 21 
2 24 8 
2 7 12 
2 22 7 
2 19 27 
2 22 9 
2 11 13 
2 5 23 
2 4 21 
2 27 12 
2 16 15 
2 17 27 
2 21 26 
2 1 22 
2 5 27 
2 18 19 
2 0 18 
2 1 7 
2 23 24 
2 19 9 
2 2 14 
2 0 26 
2 21 15 
2 24 15 
2 22 29 
2 19 23 
2 20 22 
2 7 24 
2 22 12 
2 5 14 
2 17 28 
2 2 23 
2 18 10 
2 21 23 
2 7 15 
2 20 13 
2 26 27 
2 10 27 
2 20 29 
2 4 25 
2 2 29 
2 2 21 
2 5 28 
2 1 3 
2 17 22 
2 29 14 
2 21 28 
2 2 25 
2 1 15 
2 18 20 
2 23 14 
2 21 8 
2 19 29 
2 6 13 
2 23 9 
2 23 15 

2 22 27 
2 7 10 
2 6 14 
2 6 22 
2 4 23 
2 16 15 
2 0 11 
2 2 19 
2 22 7 
2 5 9 
2 19 28 
2 27 14 
2 9 27 
2 20 27 
2 16 1 
2 25 11 
2 0 19 
2 17 3 
2 27 14 
2 0 9 
2 7 15 
2 19 28 
2 18 5 
2 17 14 
2 0 1 
2 28 14 
2 26 14 
2 5 22 
2 9 27 
2 1 19 
2 5 14 
2 0 24 
2 16 20 
2 2 15 
2 20 13 
2 20 21 
2 19 9 
2 21 24 
2 6 12 
2 1 20 
2 7 27 
2 24 13 
2 24 12 
2 19 28 
2 28 15 
2 1 3 
2 5 25 
2 2 25 
2 9 28 
2 7 9 
2 6 9 
2 7 24 
2 0 4 
2 0 22 
2 26 13 
2 17 13 
2 23 14 
2 3 14 
2 6 8 
2 1 12 
2 17 7 
2 6 23 
2 20 13 
2 16 28 
2 23 15 
2 18 23 
2 23 8 
2 3 7 
2 18 10 
2 18 25 
2 16 23 
2 3 19 
2 1 2 
2 3 8 
2 16 19 
2 18 22 
2 19 7 
2 8 12 
2 3 25 
2 1 18 
2 0 1 
2 0 6 
2 22 6 
2 12 14 
2 21 10 
2 2 12 
2 9 10 
2 16 3 
2 20 27 
2 23 13 
2 20 12 
2 1 21 
2 1 23 
2 3 24 
2 1 5 
2 25 12 
2 2 6 
2 0 25 
2 1 8 
2 11 29 
2 4 10 
2 17 24 
2 28 29 
2 2 22 
2 19 8 
2 9 26 
2 17 3 
2 17 2 
2 1 3 
2 27 29 
2 26 15 
2 6 23 
2 19 22 
2 16 23 
2 16 1 
2 16 19 
2 16 22 
2 5 12 
2 5 27 
2 4 23 
2 21 25 
2 4 24 
2 26 12 
2 27 15 
2 10 14 
2 21 8 
2 3 11 
2 20 27 
2 2 3 
2 23 28 
