25 true

13 16 11 5 15 0 13 4 19 16 6 0 19 0 5 12 3 12 5 12 7 3 13 4 5 
4 17 10 9 11 3 12 16 3 0 19 16 0 3 6 6 5 4 3 5 5 17 3 0 11 
12 5 14 0 0 16 4 4 5 16 13 4 0 4 17 6 2 6 12 9 6 1 19 12 4 
8 8 19 4 5 17 0 9 8 19 5 2 6 15 13 7 17 19 18 7 2 11 3 8 16 
9 6 12 12 16 14 10 16 0 16 2 0 10 18 19 6 9 16 16 17 18 8 9 9 18 
14 4 16 6 12 0 10 19 5 12 17 9 16 19 19 0 14 12 7 2 13 4 17 4 6 
19 16 13 18 8 15 1 9 1 18 4 17 19 12 14 9 14 2 19 8 16 16 0 0 10 
14 18 1 7 5 17 9 13 6 17 8 18 14 16 15 15 6 4 8 18 4 15 18 11 14 
4 17 17 19 8 0 16 11 6 16 18 1 8 1 5 18 16 4 17 5 13 8 5 17 17 
9 17 11 4 12 9 7 19 1 2 8 11 14 11 13 19 16 17 11 14 14 15 14 7 3 
1 10 13 18 19 6 6 14 4 18 5 14 12 6 16 3 5 6 9 18 13 13 17 13 14 
16 11 15 8 8 0 16 10 12 1 8 19 19 11 17 10 3 16 9 8 14 8 7 3 15 
15 2 13 17 11 17 8 6 3 14 8 16 15 6 15 19 10 3 11 0 6 12 10 1 0 
9 7 19 9 3 18 8 10 14 12 18 6 0 15 3 9 17 9 18 3 12 16 4 4 7 
15 8 1 17 6 16 15 0 3 14 19 13 0 7 9 6 16 13 18 2 0 7 8 18 0 
8 8 15 18 0 15 13 6 18 17 0 11 5 11 11 0 6 11 2 2 9 11 2 6 7 
9 15 11 6 8 3 0 8 14 9 2 16 12 13 3 2 2 5 3 2 14 7 12 16 6 
12 18 0 5 12 14 10 5 0 1 4 18 0 4 17 1 1 4 10 2 6 10 12 4 18 
17 1 14 1 14 8 0 11 19 5 6 1 14 4 13 17 1 1 19 12 0 7 11 17 0 
13 9 8 0 2 10 5 3 1 1 13 1 6 5 19 11 16 3 6 14 7 17 5 12 13 
14 9 4 7 3 16 2 6 3 7 8 16 11 4 12 1 1 5 12 0 2 5 0 7 19 
4 12 6 2 9 11 10 4 2 15 8 0 3 18 11 0 15 10 16 17 8 17 11 15 19 
2 19 16 9 19 13 4 14 10 14 15 2 12 11 0 10 1 5 5 4 4 6 0 0 8 
12 4 10 7 8 14 18 12 11 9 3 8 16 7 10 15 8 1 3 7 13 7 3 12 11 
8 3 7 1 10 15 19 5 0 17 11 19 3 10 13 1 5 7 15 7 0 1 14 4 6 

87 87 
2 5 10 
2 0 19 
2 16 14 
2 2 3 
2 9 15 
2 1 6 
2 8 13 
2 1 23 
2 10 14 
2 9 11 
2 0 12 
2 16 2 
2 1 15 
2 0 8 
2 3 4 
2 16 11 
2 16 2 
2 0 7 
2 16 21 
2 23 11 
2 0 13 
2 18 21 
2 19 20 
2 22 10 
2 6 12 
2 6 8 
2 2 15 
2 19 20 
2 3 10 
2 21 13 
2 20 5 
2 18 3 
2 19 11 
2 4 14 
2 5 11 
2 6 7 
2 17 11 
2 12 13 
2 0 5 
2 24 13 
2 1 23 
2 0 17 
2 3 13 
2 23 10 
2 3 10 
2 2 12 
2 21 23 
2 21 14 
2 5 23 
2 19 10 
2 23 14 
2 21 12 
2 3 4 
2 11 12 
2 6 24 
2 17 2 
2 12 15 
2 0 1 
2 17 8 
2 22 9 
2 2 19 
2 19 11 
2 17 19 
2 20 4 
2 1 21 
2 10 11 
2 10 11 
2 16 24 
2 5 15 
2 4 23 
2 18 5 
2 16 3 
2 1 24 
2 0 5 
2 16 10 
2 20 13 
2 2 7 
2 21 8 
2 0 5 
2 18 20 
2 0 18 
2 19 24 
2 13 14 
2 18 15 
2 5 11 
2 1 20 
2 22 24 

2 18 23 
2 17 7 
2 23 13 
2 16 4 
2 5 14 
2 24 11 
2 1 7 
2 0 9 
2 10 11 
2 7 11 
2 2 15 
2 3 9 
2 11 12 
2 19 14 
2 10 11 
2 8 11 
2 5 6 
2 20 10 
2 9 12 
2 1 8 
2 0 3 
2 18 7 
2 2 4 
2 4 12 
2 7 12 
2 19 5 
2 11 13 
2 0 3 
2 16 17 
2 4 13 
2 0 13 
2 8 9 
2 4 21 
2 21 14 
2 21 7 
2 22 12 
2 5 12 
2 0 20 
2 9 10 
2 23 11 
2 16 9 
2 18 7 
2 0 10 
2 19 8 
2 4 11 
2 17 15 
2 18 11 
2 4 8 
2 9 15 
2 19 5 
2 1 14 
2 2 23 
2 22 7 
2 16 19 
2 1 8 
2 21 14 
2 3 4 
2 18 9 
2 0 10 
2 19 4 
2 16 14 
2 16 18 
2 1 22 
2 17 7 
2 8 11 
2 16 19 
2 17 9 
2 23 9 
2 2 20 
2 4 10 
2 8 13 
2 17 13 
2 22 7 
2 17 2 
2 5 13 
2 16 2 
2 8 14 
2 3 24 
2 12 15 
2 17 22 
2 17 4 
2 2 5 
2 6 15 
2 22 24 
2 17 18 
2 22 12 
2 3 22 
