15 true

3 2 7 10 4 9 15 9 2 11 6 17 4 7 10 
15 0 10 3 7 0 18 18 9 15 18 9 4 17 19 
12 11 14 2 13 12 5 17 18 12 10 12 18 2 17 
5 10 0 9 3 10 15 18 6 17 16 14 4 12 14 
6 14 18 8 8 17 8 16 17 18 0 3 10 8 19 
11 3 15 7 7 0 16 4 14 17 18 6 17 15 2 
0 15 12 14 16 7 15 15 5 17 7 8 8 14 13 
19 6 19 16 14 14 6 16 6 15 13 13 19 14 13 
11 5 6 0 1 15 18 2 16 1 10 12 15 1 1 
5 3 16 16 8 1 2 7 19 5 2 7 18 19 12 
1 2 18 12 1 4 10 9 0 6 3 8 5 13 9 
4 14 15 7 15 4 5 19 7 12 15 6 10 15 7 
6 16 6 18 18 6 9 14 16 16 19 12 19 17 6 
2 8 11 17 11 8 4 8 2 19 5 16 11 2 13 
11 12 11 12 8 15 14 2 3 4 11 1 11 15 1 

29 29 
2 6 12 
2 8 9 
2 1 8 
2 12 13 
2 4 7 
2 3 8 
2 6 8 
2 0 6 
2 10 13 
2 1 7 
2 5 10 
2 3 11 
2 9 11 
2 9 12 
2 4 5 
2 0 12 
2 7 9 
2 11 13 
2 1 3 
2 3 13 
2 5 11 
2 5 13 
2 10 13 
2 2 10 
2 3 11 
2 3 5 
2 7 8 
2 4 9 
2 1 9 

2 10 11 
2 12 14 
2 4 9 
2 0 10 
2 8 13 
2 1 7 
2 0 3 
2 8 9 
2 1 10 
2 5 9 
2 7 10 
2 0 5 
2 9 12 
2 0 6 
2 8 9 
2 0 2 
2 0 5 
2 8 12 
2 1 12 
2 3 9 
2 5 10 
2 4 6 
2 5 9 
2 2 10 
2 1 10 
2 9 12 
2 5 8 
2 6 13 
2 0 7 
