20 true

2 13 14 15 10 8 13 3 13 8 13 6 0 1 5 10 9 18 11 6 
3 3 12 0 17 6 13 16 13 9 11 8 1 4 16 18 16 15 12 11 
18 16 13 5 2 16 3 16 15 14 16 3 1 3 2 8 0 10 4 7 
19 6 10 19 10 12 7 17 12 10 11 13 6 1 14 5 19 1 7 19 
19 6 9 0 19 3 12 19 13 15 14 15 4 19 5 18 14 1 8 0 
4 3 3 6 9 9 18 6 9 16 15 15 17 0 3 5 12 12 0 7 
10 17 7 7 15 17 7 14 0 6 3 11 17 9 0 5 9 19 1 5 
19 10 19 18 11 16 0 19 19 17 19 3 3 14 13 9 11 3 18 2 
3 14 5 18 17 11 1 12 1 4 5 14 12 2 13 10 18 10 4 17 
13 2 9 13 9 1 18 19 3 3 5 3 17 19 19 5 3 14 5 5 
18 2 18 10 6 19 5 12 7 17 15 8 14 15 10 6 9 18 15 0 
2 19 5 1 8 3 19 6 14 17 11 12 15 10 12 14 6 4 11 6 
18 5 12 15 17 6 1 8 0 6 10 5 6 17 19 3 10 10 8 3 
5 6 1 15 13 9 10 14 18 3 2 15 1 4 1 8 1 3 15 11 
3 1 12 4 1 6 3 15 0 10 10 7 7 18 5 9 6 9 12 8 
13 4 17 3 9 14 6 2 11 0 6 9 12 6 6 8 0 8 2 17 
14 7 2 6 8 19 11 13 8 16 11 0 8 9 19 1 9 5 1 0 
0 4 5 10 1 2 3 15 14 1 6 18 5 11 1 9 15 11 7 19 
16 5 10 12 14 1 18 1 1 1 2 15 13 14 11 11 19 11 6 18 
8 17 19 13 10 16 17 17 6 13 6 14 8 6 17 17 5 18 8 12 

51 51 
2 0 10 
2 16 8 
2 16 4 
2 18 15 
2 7 12 
2 5 12 
2 1 6 
2 0 15 
2 16 8 
2 4 6 
2 3 8 
2 17 9 
2 16 17 
2 2 14 
2 5 11 
2 1 17 
2 1 15 
2 4 9 
2 18 5 
2 2 9 
2 2 11 
2 5 13 
2 9 14 
2 2 12 
2 2 5 
2 16 0 
2 8 14 
2 11 15 
2 4 10 
2 4 13 
2 1 9 
2 17 3 
2 3 7 
2 19 6 
2 18 12 
2 18 5 
2 1 17 
2 17 19 
2 3 5 
2 0 11 
2 0 10 
2 16 15 
2 5 9 
2 4 5 
2 1 2 
2 1 18 
2 2 11 
2 2 4 
2 9 10 
2 4 15 
2 9 15 

2 16 6 
2 7 11 
2 3 14 
2 16 18 
2 6 15 
2 3 12 
2 17 8 
2 6 11 
2 3 7 
2 4 6 
2 14 15 
2 1 15 
2 19 3 
2 6 13 
2 19 7 
2 5 14 
2 3 12 
2 17 8 
2 2 15 
2 10 11 
2 5 8 
2 7 15 
2 5 13 
2 16 19 
2 0 1 
2 17 3 
2 1 7 
2 11 14 
2 7 9 
2 2 12 
2 11 12 
2 19 13 
2 4 8 
2 17 2 
2 1 2 
2 17 7 
2 7 12 
2 18 9 
2 7 11 
2 6 15 
2 18 10 
2 5 13 
2 0 8 
2 0 12 
2 17 8 
2 2 15 
2 17 5 
2 0 5 
2 3 11 
2 8 12 
2 17 5 
