Task   Percent_conflict   Time_SCIP   Status_solve_SCIP   Decision_SCIP   Time_LS   Decision_LS   ErrorRate
task_0_n_15   29   367   OPTIMAL   260.0   12803   -1825   801.9230769230769
task_1_n_15   26   632   OPTIMAL   239.0   12298   161   32.63598326359833
task_2_n_15   27   1280   OPTIMAL   239.99999999999997   12419   162   32.49999999999999
task_3_n_15   28   850   OPTIMAL   255.0   12642   139   45.490196078431374
task_4_n_15   27   1605   OPTIMAL   246.0   12496   -819   432.9268292682927
task_5_n_15   25   70   OPTIMAL   260.0   12098   180   30.76923076923077
task_6_n_15   30   647   OPTIMAL   256.0   12968   -819   419.921875
task_7_n_15   28   179   OPTIMAL   258.00000000000006   12705   -813   415.11627906976736
task_8_n_15   29   2197   OPTIMAL   237.00000000000003   12920   -851   459.07172995780587
task_9_n_15   25   239   OPTIMAL   264.0   12132   192   27.272727272727273
