15 true

6 6 11 15 3 6 3 17 6 4 16 2 15 17 16 
5 16 19 17 2 0 18 10 19 15 10 4 12 14 5 
9 12 17 11 16 12 3 11 3 9 0 8 15 19 19 
3 10 6 6 8 7 1 13 4 13 5 4 16 0 14 
13 14 0 9 4 1 18 12 11 19 18 7 2 10 12 
8 10 17 14 12 11 0 11 2 7 5 3 12 17 10 
7 16 17 6 5 15 11 15 18 15 11 6 18 7 7 
19 15 6 9 16 1 4 8 13 0 6 19 13 9 2 
15 1 13 10 5 18 14 11 15 14 6 3 19 6 12 
5 6 7 9 8 6 18 18 2 6 1 13 17 14 8 
18 14 19 10 15 5 14 15 13 17 5 0 12 5 13 
16 16 8 1 19 8 4 19 15 19 5 6 14 16 4 
8 17 8 19 14 18 8 1 15 3 13 1 16 19 18 
4 4 7 17 9 15 5 7 13 2 16 14 7 3 0 
19 12 2 11 3 18 10 4 18 12 8 11 2 19 14 

29 29 
2 5 7 
2 5 6 
2 2 13 
2 1 2 
2 7 13 
2 7 11 
2 7 12 
2 6 14 
2 1 6 
2 10 12 
2 6 12 
2 2 9 
2 0 8 
2 12 13 
2 3 4 
2 8 14 
2 0 8 
2 4 8 
2 4 6 
2 1 13 
2 0 12 
2 1 14 
2 3 9 
2 1 9 
2 5 12 
2 4 5 
2 10 12 
2 4 5 
2 8 13 

2 3 12 
2 9 12 
2 5 6 
2 9 13 
2 11 13 
2 2 11 
2 1 9 
2 11 12 
2 1 5 
2 1 10 
2 0 11 
2 2 4 
2 0 6 
2 4 9 
2 1 13 
2 7 14 
2 6 13 
2 1 11 
2 1 6 
2 8 12 
2 8 9 
2 3 10 
2 0 8 
2 3 5 
2 2 10 
2 3 5 
2 5 10 
2 3 9 
2 0 9 
