20 true

10 13 11 1 1 9 18 8 7 17 13 1 16 0 8 9 16 13 12 4 
2 6 8 7 19 10 11 15 11 8 7 15 5 14 17 5 8 0 17 10 
11 0 3 8 1 8 14 9 16 14 1 1 12 4 13 17 14 9 1 15 
8 0 14 19 11 12 17 1 11 14 6 5 15 4 17 1 0 12 6 19 
7 15 7 14 6 11 12 3 5 9 6 16 18 12 16 16 0 10 0 4 
12 1 18 8 12 13 0 5 8 10 11 6 5 12 12 7 3 2 6 6 
18 4 10 15 11 0 14 0 2 7 19 5 10 19 18 0 1 19 0 13 
9 17 3 14 12 10 19 7 14 5 18 19 13 14 10 5 11 4 6 9 
6 12 14 13 7 18 2 10 16 7 17 1 7 7 9 17 5 6 13 7 
11 5 6 4 12 14 6 9 13 10 19 0 19 14 16 12 0 1 9 15 
7 2 9 1 14 17 18 11 8 4 11 15 18 3 14 11 19 5 15 16 
8 10 7 11 5 15 1 17 10 8 2 0 19 10 2 17 4 19 2 3 
4 9 2 3 17 2 11 7 5 13 17 13 18 15 18 12 16 15 5 6 
4 10 8 19 10 11 16 1 11 12 11 16 19 4 13 7 16 1 16 14 
3 13 12 9 4 18 1 7 4 2 15 9 15 7 15 16 18 4 5 0 
3 3 15 5 19 13 3 13 18 11 15 2 16 11 13 15 1 3 0 5 
12 3 15 4 7 1 7 3 4 12 5 3 16 1 12 5 12 16 9 12 
9 8 8 16 9 0 11 3 18 16 12 1 16 16 1 9 16 10 2 16 
13 4 14 4 10 6 5 12 16 1 8 11 9 16 8 13 11 8 16 15 
4 6 2 10 7 10 15 14 17 10 1 8 10 12 5 10 5 5 5 11 

51 51 
2 7 15 
2 16 3 
2 4 11 
2 0 14 
2 10 12 
2 7 14 
2 4 11 
2 0 2 
2 0 8 
2 0 5 
2 13 14 
2 1 5 
2 5 8 
2 2 3 
2 3 12 
2 0 2 
2 1 19 
2 5 10 
2 2 3 
2 8 13 
2 1 11 
2 9 10 
2 5 13 
2 18 12 
2 0 18 
2 7 10 
2 18 11 
2 8 12 
2 17 15 
2 17 5 
2 16 19 
2 17 5 
2 6 14 
2 16 4 
2 1 8 
2 5 7 
2 1 14 
2 1 10 
2 5 6 
2 10 15 
2 12 15 
2 0 7 
2 10 13 
2 5 9 
2 1 4 
2 1 11 
2 6 8 
2 18 10 
2 18 15 
2 0 9 
2 1 13 

2 17 5 
2 4 7 
2 0 14 
2 5 14 
2 4 15 
2 4 9 
2 18 7 
2 17 7 
2 4 14 
2 5 14 
2 11 12 
2 5 15 
2 16 2 
2 17 6 
2 18 15 
2 5 9 
2 13 14 
2 19 10 
2 4 6 
2 0 2 
2 5 10 
2 3 5 
2 1 14 
2 16 15 
2 4 5 
2 3 10 
2 18 6 
2 4 12 
2 17 10 
2 6 8 
2 4 5 
2 4 10 
2 0 1 
2 1 12 
2 8 15 
2 3 6 
2 0 14 
2 1 9 
2 10 15 
2 17 9 
2 12 14 
2 9 13 
2 1 19 
2 1 13 
2 3 12 
2 16 12 
2 16 5 
2 1 5 
2 7 13 
2 2 19 
2 9 12 
