Task Percent_conflict Time_SCIP Status_solve_SCIP Decision_SCIP Time_LS Decision_LS ErrorRate
task_2_0_n_10 30 153 OPTIMAL 166.0 10107 150 9.63855421686747
task_2_1_n_10 28 26 OPTIMAL 169.0 6644 141 16.568047337278106
task_2_2_n_10 30 176 OPTIMAL 164.0 7681 139 15.24390243902439
task_2_3_n_10 26 30 OPTIMAL 150.0 5458 130 13.333333333333334
task_2_4_n_10 27 45 OPTIMAL 160.0 6804 154 3.75
task_2_5_n_10 26 21 OPTIMAL 171.0 5708 151 11.695906432748538
task_2_6_n_10 26 29 OPTIMAL 158.0 5428 147 6.962025316455696
task_2_7_n_10 30 25 OPTIMAL 165.0 7497 139 15.757575757575758
task_2_8_n_10 28 40 OPTIMAL 160.0 6631 144 10.0
task_2_9_n_10 30 55 OPTIMAL 148.99999999999997 7400 134 10.067114093959715
