Task   Percent_conflict   Time_SCIP   Status_solve_SCIP   Decision_SCIP   Time_LS   Decision_LS   ErrorRate
task_0_n_15   28   173   OPTIMAL   260.0   56077   172   33.84615384615385
task_1_n_15   27   603   OPTIMAL   237.99999999999997   35605   172   27.73109243697478
task_2_n_15   29   703   OPTIMAL   240.0   40572   -828   445.0
task_3_n_15   27   692   OPTIMAL   250.99999999999991   37995   133   47.01195219123504
task_4_n_15   25   616   OPTIMAL   243.0   32621   171   29.62962962962963
task_5_n_15   30   1239   OPTIMAL   250.99999999999997   46598   -858   441.8326693227092
task_6_n_15   26   857   OPTIMAL   246.99999999999997   33472   164   33.60323886639675
task_7_n_15   26   446   OPTIMAL   253.99999999999997   32390   -810   418.8976377952756
task_8_n_15   28   333   OPTIMAL   253.0   37557   -807   418.97233201581025
task_9_n_15   29   1690   OPTIMAL   252.00000000000006   39305   133   47.222222222222236
