15 true

7 4 12 7 3 8 0 1 18 9 4 14 11 16 19 
19 15 8 12 8 13 13 12 8 4 2 2 3 4 1 
6 16 12 6 17 8 0 4 4 17 1 10 16 1 10 
18 16 0 17 3 8 16 5 17 16 14 10 0 16 1 
6 6 10 12 6 12 4 3 15 10 3 7 10 0 19 
12 12 8 8 14 2 10 18 0 11 13 12 19 17 14 
9 8 12 3 8 11 19 19 14 4 10 5 14 18 11 
19 3 9 13 5 17 1 2 17 2 13 18 17 10 15 
13 8 15 1 9 14 0 5 1 12 7 13 0 18 4 
13 9 7 6 14 2 16 12 5 17 6 13 13 10 9 
16 17 17 2 14 15 3 0 8 6 10 1 19 15 2 
16 12 10 9 14 6 3 7 0 7 9 0 7 13 18 
11 16 15 16 4 9 7 11 1 15 2 7 5 13 5 
13 14 3 19 4 8 4 5 19 4 7 1 4 0 5 
8 16 15 7 2 9 11 18 1 12 9 13 17 0 12 

26 26 
2 0 14 
2 1 8 
2 1 12 
2 0 5 
2 0 7 
2 6 10 
2 0 11 
2 0 5 
2 11 13 
2 7 8 
2 2 12 
2 3 14 
2 8 9 
2 8 13 
2 2 13 
2 0 12 
2 2 14 
2 0 1 
2 7 8 
2 10 13 
2 10 13 
2 12 14 
2 5 6 
2 3 8 
2 4 8 
2 7 12 

2 10 11 
2 7 11 
2 7 13 
2 3 14 
2 1 5 
2 2 4 
2 3 7 
2 9 10 
2 1 6 
2 9 11 
2 5 9 
2 3 12 
2 1 10 
2 9 13 
2 8 10 
2 9 14 
2 9 12 
2 8 11 
2 0 9 
2 0 12 
2 0 2 
2 1 11 
2 9 10 
2 1 4 
2 2 8 
2 4 6 
