25 true

2 16 2 16 4 5 11 6 17 10 6 12 10 12 8 8 13 19 19 17 11 11 13 2 18 
16 16 4 7 2 6 19 3 4 15 12 8 9 0 14 12 11 1 6 8 9 1 10 11 2 
16 5 0 16 5 5 6 5 13 6 0 14 15 0 11 3 9 4 13 4 14 1 5 9 0 
9 10 0 5 8 12 16 4 1 11 7 12 8 12 9 13 12 12 11 4 2 9 14 13 12 
9 17 11 16 2 18 10 0 6 3 14 14 13 11 3 10 13 18 2 5 15 3 2 17 19 
6 5 7 17 0 2 15 14 12 5 11 14 17 1 13 2 1 13 17 13 11 18 18 4 0 
0 5 8 3 8 12 7 17 18 8 5 8 13 3 5 3 9 10 7 13 16 12 4 14 16 
10 18 15 7 3 19 17 8 13 3 3 8 17 14 19 10 14 16 19 4 10 14 1 14 10 
19 9 18 11 16 0 12 8 10 0 18 8 2 6 8 9 12 19 18 5 19 1 0 6 4 
7 2 3 10 17 10 3 18 6 12 9 1 1 15 2 10 19 6 2 17 17 2 2 5 6 
18 9 5 5 8 8 1 16 16 14 3 8 12 14 6 2 8 15 4 17 7 4 9 7 18 
6 8 9 3 13 4 6 17 5 11 6 5 12 18 16 4 15 4 10 4 4 15 12 9 16 
4 0 11 7 3 3 8 12 19 12 0 11 13 7 17 13 10 1 5 17 4 12 11 7 8 
5 6 12 3 4 13 13 12 6 5 15 15 16 1 14 6 7 17 16 0 10 9 4 16 9 
5 1 4 7 17 11 14 9 3 0 0 2 4 3 18 10 8 13 5 0 13 7 19 8 8 
10 7 5 8 5 15 15 9 19 4 1 16 7 12 3 14 18 12 18 6 5 10 12 4 9 
9 12 16 3 17 18 16 19 10 11 3 12 8 11 14 9 4 15 14 17 14 11 4 5 14 
11 3 6 6 17 19 14 4 12 13 8 2 8 16 5 9 5 5 3 15 19 15 12 8 6 
13 13 8 19 16 10 18 2 18 10 18 11 1 14 19 17 6 2 13 12 12 12 19 0 8 
5 8 16 4 12 9 10 18 17 15 6 6 7 11 5 5 1 6 8 3 11 19 2 15 9 
3 10 19 14 6 7 3 2 10 14 1 9 15 9 10 0 7 7 14 7 0 17 3 4 18 
15 1 2 8 17 18 17 13 13 0 18 3 8 13 8 9 7 14 10 19 11 4 19 13 14 
17 14 19 10 6 15 2 3 18 5 17 12 11 4 18 2 12 0 3 18 2 18 19 0 13 
16 9 11 3 8 10 14 10 6 12 15 16 17 9 14 11 3 16 6 1 18 0 13 9 14 
14 9 7 14 3 6 18 19 10 18 1 4 7 16 17 6 9 5 2 9 16 8 10 4 7 

84 84 
2 1 20 
2 16 5 
2 16 11 
2 1 7 
2 24 14 
2 4 10 
2 2 23 
2 18 21 
2 0 20 
2 2 5 
2 22 8 
2 11 14 
2 4 13 
2 3 13 
2 2 4 
2 21 23 
2 12 15 
2 21 7 
2 19 3 
2 18 22 
2 17 19 
2 6 10 
2 18 19 
2 18 13 
2 2 21 
2 7 9 
2 16 15 
2 8 13 
2 3 11 
2 3 11 
2 4 22 
2 17 1 
2 2 11 
2 12 15 
2 0 6 
2 18 3 
2 7 15 
2 19 23 
2 1 21 
2 18 12 
2 17 22 
2 17 10 
2 0 18 
2 12 14 
2 6 11 
2 13 15 
2 18 8 
2 20 12 
2 17 21 
2 17 13 
2 13 15 
2 1 13 
2 0 5 
2 16 10 
2 6 7 
2 0 12 
2 16 18 
2 3 24 
2 19 13 
2 22 12 
2 0 21 
2 2 9 
2 4 23 
2 9 13 
2 7 12 
2 21 10 
2 19 12 
2 22 14 
2 18 12 
2 4 9 
2 0 8 
2 1 19 
2 22 9 
2 17 13 
2 3 9 
2 17 4 
2 9 15 
2 16 12 
2 24 15 
2 21 6 
2 21 8 
2 16 13 
2 1 5 
2 5 6 

2 22 23 
2 1 9 
2 20 15 
2 22 11 
2 20 7 
2 12 14 
2 1 22 
2 18 14 
2 23 24 
2 2 11 
2 23 11 
2 21 22 
2 0 13 
2 0 21 
2 21 12 
2 23 15 
2 18 19 
2 16 19 
2 3 5 
2 23 15 
2 22 10 
2 16 2 
2 16 2 
2 17 18 
2 3 13 
2 0 9 
2 18 20 
2 6 13 
2 6 10 
2 22 13 
2 16 4 
2 18 3 
2 6 9 
2 2 6 
2 7 10 
2 0 18 
2 3 6 
2 2 10 
2 0 22 
2 5 11 
2 19 4 
2 5 14 
2 18 22 
2 4 14 
2 17 2 
2 12 15 
2 20 10 
2 0 2 
2 19 6 
2 6 22 
2 7 10 
2 20 8 
2 24 11 
2 22 8 
2 1 14 
2 2 10 
2 21 24 
2 9 12 
2 16 9 
2 7 14 
2 23 11 
2 7 14 
2 0 17 
2 10 14 
2 22 11 
2 20 11 
2 20 23 
2 0 8 
2 3 21 
2 16 24 
2 18 11 
2 6 15 
2 18 23 
2 21 8 
2 3 19 
2 21 13 
2 3 7 
2 20 8 
2 0 12 
2 16 21 
2 16 22 
2 18 6 
2 1 9 
2 17 10 
