20 true

8 17 14 16 13 1 18 10 13 18 2 16 3 13 1 5 8 2 7 3 
12 15 12 9 5 12 1 11 5 2 14 7 4 8 14 7 14 11 4 11 
12 10 17 15 4 4 8 17 17 6 17 5 10 4 16 1 6 16 11 15 
16 11 10 0 2 3 11 5 2 11 16 3 16 8 17 5 14 12 19 18 
6 13 6 9 17 12 19 2 3 1 3 11 3 8 1 8 7 5 5 4 
11 11 0 2 7 7 8 3 4 9 8 12 17 14 7 16 7 0 19 10 
10 10 7 15 3 4 7 12 16 1 19 13 1 14 3 16 19 13 2 10 
18 0 11 1 0 9 0 6 5 12 2 15 8 5 8 15 10 3 13 9 
11 5 11 13 4 3 5 9 16 7 9 12 5 9 0 19 0 17 2 7 
11 6 13 6 10 7 13 7 11 5 7 12 1 7 9 15 18 15 6 1 
2 1 1 5 14 0 12 10 1 19 8 3 6 17 10 0 10 0 14 12 
11 17 13 3 11 6 19 11 1 10 8 1 9 9 2 19 11 5 1 18 
11 17 0 19 11 11 13 8 7 9 5 16 2 10 6 10 12 0 6 4 
18 5 8 16 18 2 1 8 2 16 15 16 19 3 18 17 18 15 10 2 
13 19 6 15 0 19 17 6 12 18 1 2 4 9 3 8 3 6 3 14 
15 3 1 16 13 5 11 16 0 1 6 17 9 12 7 13 6 1 19 14 
9 11 19 17 1 9 18 18 1 14 16 16 19 12 0 12 9 0 12 7 
15 19 16 17 14 0 0 9 14 9 14 2 11 6 0 6 7 18 7 7 
5 7 17 8 16 11 16 17 15 3 8 19 3 7 9 5 8 11 4 7 
8 5 10 8 6 7 15 2 5 14 13 17 5 6 15 3 14 5 3 1 

53 53 
2 10 13 
2 17 13 
2 16 7 
2 0 17 
2 19 7 
2 16 8 
2 16 18 
2 10 14 
2 7 9 
2 17 4 
2 2 8 
2 19 15 
2 0 17 
2 18 6 
2 19 9 
2 17 8 
2 4 11 
2 4 12 
2 8 14 
2 16 11 
2 19 4 
2 1 14 
2 0 2 
2 19 9 
2 17 14 
2 7 12 
2 18 19 
2 1 2 
2 5 10 
2 1 6 
2 12 13 
2 7 13 
2 2 3 
2 6 7 
2 2 9 
2 16 10 
2 18 10 
2 3 9 
2 17 8 
2 5 9 
2 4 6 
2 3 13 
2 11 12 
2 2 19 
2 6 8 
2 10 12 
2 5 13 
2 12 14 
2 17 10 
2 17 4 
2 4 15 
2 2 15 
2 10 15 

2 19 4 
2 2 5 
2 2 7 
2 0 9 
2 2 11 
2 16 15 
2 2 6 
2 17 15 
2 4 11 
2 1 14 
2 16 12 
2 11 13 
2 16 4 
2 0 15 
2 8 15 
2 17 8 
2 10 14 
2 5 11 
2 2 9 
2 18 12 
2 0 9 
2 8 13 
2 2 6 
2 18 7 
2 0 18 
2 0 6 
2 7 8 
2 19 14 
2 17 11 
2 17 18 
2 3 9 
2 17 15 
2 2 5 
2 1 19 
2 19 7 
2 11 15 
2 4 12 
2 0 13 
2 11 12 
2 18 4 
2 0 6 
2 2 19 
2 16 13 
2 0 12 
2 3 9 
2 17 1 
2 1 17 
2 9 13 
2 0 12 
2 19 7 
2 16 17 
2 12 15 
2 6 8 
