15 true

16 17 3 16 10 0 8 8 8 14 15 16 16 15 3 
9 12 5 11 1 5 9 1 15 8 7 2 11 19 15 
6 14 11 6 13 2 8 18 12 2 3 4 8 19 6 
9 17 12 19 8 1 8 9 12 15 13 9 15 19 2 
15 0 13 1 4 10 14 15 8 14 8 7 14 13 10 
12 9 17 19 1 11 3 12 8 10 10 11 2 11 9 
14 2 13 18 1 6 2 18 3 7 2 13 0 6 14 
7 14 16 9 9 8 10 16 14 0 2 9 7 11 7 
3 5 8 6 0 17 18 12 2 8 17 19 15 10 13 
13 7 10 1 13 8 13 11 7 18 9 7 10 19 13 
8 6 17 16 15 4 7 6 13 15 16 0 18 2 6 
8 17 9 1 16 8 9 8 13 17 0 19 3 1 17 
15 0 7 8 0 16 11 6 14 17 8 8 2 12 16 
18 10 10 12 14 19 9 4 7 3 11 15 15 9 17 
0 14 13 7 10 3 5 19 12 12 19 2 0 8 6 

29 29 
2 0 13 
2 6 14 
2 4 7 
2 2 12 
2 0 7 
2 0 1 
2 3 5 
2 7 10 
2 6 9 
2 8 10 
2 7 14 
2 6 9 
2 12 14 
2 5 11 
2 6 8 
2 6 7 
2 10 14 
2 10 13 
2 2 8 
2 2 6 
2 0 14 
2 4 10 
2 1 4 
2 11 12 
2 4 7 
2 3 13 
2 3 4 
2 5 11 
2 1 7 

2 11 13 
2 3 7 
2 6 13 
2 10 13 
2 5 10 
2 0 7 
2 6 8 
2 4 8 
2 0 4 
2 9 13 
2 6 10 
2 3 10 
2 9 10 
2 6 9 
2 7 10 
2 2 11 
2 0 7 
2 5 8 
2 6 13 
2 0 2 
2 5 10 
2 7 9 
2 1 13 
2 11 12 
2 0 3 
2 6 12 
2 3 7 
2 5 6 
2 1 10 
