Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_win Desigion_LS_win ErrorRate_LS_win
t0 25 OPTIMAL 159 171.0 24285 162 5.2631578947368425 
t1 27 OPTIMAL 118 165.0 28953 156 5.454545454545454 
t2 28 OPTIMAL 49 154.0 29675 138 10.38961038961039 
t3 27 OPTIMAL 112 161.0 35349 150 6.832298136645963 
t4 27 OPTIMAL 122 157.0 32807 140 10.828025477707007 
t5 30 OPTIMAL 158 163.0 42683 145 11.042944785276074 
t6 27 OPTIMAL 57 172.0 38388 157 8.720930232558139 
t7 28 OPTIMAL 247 151.0 39829 139 7.947019867549669 
t8 29 OPTIMAL 271 163.0 43158 147 9.815950920245399 
t9 29 OPTIMAL 284 168.0 108355 155 7.738095238095238 
t10 28 OPTIMAL 356 150.0 41642 135 10.0 
t11 27 OPTIMAL 1110 159.00000000000003 43452 146 8.176100628930833 
t12 25 OPTIMAL 179 153.0 27929 138 9.803921568627452 
t13 27 OPTIMAL 78 161.0 22889 147 8.695652173913043 
t14 27 OPTIMAL 134 164.0 35034 152 7.317073170731708 
t15 26 OPTIMAL 152 173.0 37403 166 4.046242774566474 
t16 29 OPTIMAL 400 155.0 35476 137 11.612903225806452 
t17 28 OPTIMAL 121 171.0 25822 163 4.678362573099415 
t18 29 OPTIMAL 65 160.0 26141 122 23.75 
t19 27 OPTIMAL 267 152.0 310097 137 9.868421052631579 
t20 28 OPTIMAL 404 159.0 40037 146 8.176100628930818 
t21 30 OPTIMAL 157 160.0 173702 144 10.0 
t22 30 OPTIMAL 125 158.0 34909 156 1.2658227848101267 
t23 26 OPTIMAL 117 159.0 21350 145 8.80503144654088 
t24 30 OPTIMAL 217 139.0 31595 121 12.949640287769784 
t25 25 OPTIMAL 192 167.0 24550 153 8.383233532934131 
t26 29 OPTIMAL 94 169.0 44361 164 2.9585798816568047 
t27 29 OPTIMAL 524 144.0 42531 127 11.805555555555555 
t28 26 OPTIMAL 89 162.0 32137 143 11.728395061728396 
t29 28 OPTIMAL 76 167.0 36203 137 17.964071856287426 
