Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_win Desigion_LS_win ErrorRate_LS_win Time_LS_1p1 Desigion_LS_1p1 ErrorRate_LS_1p1 
t0 25 OPTIMAL 58 171.0 75710 158 7.60233918128655 75266 151 11.695906432748538 
t1 27 OPTIMAL 33 165.0 100651 146 11.515151515151516 88389 136 17.575757575757574 
t2 28 OPTIMAL 26 154.0 87192 138 10.38961038961039 92208 141 8.441558441558442 
t3 27 OPTIMAL 44 161.0 84916 135 16.149068322981368 78488 142 11.801242236024844 
t4 27 OPTIMAL 29 157.0 80691 133 15.286624203821656 79458 128 18.471337579617835 
t5 30 OPTIMAL 36 163.0 92003 142 12.883435582822086 91454 124 23.926380368098158 
t6 27 OPTIMAL 28 172.0 76652 150 12.790697674418604 83552 150 12.790697674418604 
t7 28 OPTIMAL 53 151.0 79050 132 12.582781456953642 79372 135 10.596026490066226 
t8 29 OPTIMAL 68 163.0 95400 133 18.404907975460123 89169 133 18.404907975460123 
t9 29 OPTIMAL 65 168.0 87379 154 8.333333333333334 80013 158 5.9523809523809526 
t10 28 OPTIMAL 60 150.0 71660 131 12.666666666666666 71318 128 14.666666666666666 
t11 27 OPTIMAL 184 159.00000000000003 67779 142 10.691823899371084 68042 142 10.691823899371084 
t12 25 OPTIMAL 27 153.0 58085 141 7.8431372549019605 61787 134 12.418300653594772 
t13 27 OPTIMAL 35 161.0 75975 152 5.590062111801243 75884 150 6.832298136645963 
t14 27 OPTIMAL 22 164.0 74820 142 13.414634146341463 75452 139 15.24390243902439 
t15 26 OPTIMAL 29 173.0 65405 150 13.294797687861271 64839 148 14.45086705202312 
t16 29 OPTIMAL 67 155.0 94276 129 16.774193548387096 93464 133 14.193548387096774 
t17 28 OPTIMAL 30 171.0 75855 149 12.865497076023392 76628 144 15.789473684210526
