Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_win Desigion_LS_win ErrorRate_LS_win
t0 25 OPTIMAL 168 171.0 8763 151 11.695906432748538 
t1 27 OPTIMAL 63 165.0 12335 137 16.96969696969697 
t2 28 OPTIMAL 40 154.0 17898 131 14.935064935064934 
t3 27 OPTIMAL 35 161.0 12111 129 19.875776397515526 
t4 27 OPTIMAL 34 157.0 13956 132 15.92356687898089 
t5 30 OPTIMAL 44 163.0 15789 144 11.656441717791411 
t6 27 OPTIMAL 43 172.0 14785 150 12.790697674418604 
t7 28 OPTIMAL 136 151.0 13537 119 21.192052980132452 
t8 29 OPTIMAL 197 163.0 14598 143 12.269938650306749 
t9 29 OPTIMAL 98 168.0 13891 150 10.714285714285714 
t10 28 OPTIMAL 98 150.0 11773 124 17.333333333333332 
t11 27 OPTIMAL 386 159.00000000000003 12239 136 14.465408805031462 
t12 25 OPTIMAL 39 153.0 9096 138 9.803921568627452 
t13 27 OPTIMAL 40 161.0 12591 154 4.3478260869565215 
t14 27 OPTIMAL 58 164.0 15480 147 10.365853658536585 
t15 26 OPTIMAL 79 173.0 13569 154 10.982658959537572 
t16 29 OPTIMAL 219 155.0 21055 129 16.774193548387096 
t17 28 OPTIMAL 99 171.0 13583 125 26.900584795321638 
t18 29 OPTIMAL 57 160.0 18801 160 0.0 
t19 27 OPTIMAL 62 152.0 11363 115 24.342105263157894 
t20 28 OPTIMAL 271 159.0 11954 151 5.031446540880503 
t21 30 OPTIMAL 44 160.0 12455 134 16.25 
t22 30 OPTIMAL 122 158.0 13715 126 20.253164556962027 
t23 26 OPTIMAL 75 159.0 12243 129 18.867924528301888 
t24 30 OPTIMAL 120 139.0 13449 121 12.949640287769784 
t25 25 OPTIMAL 154 167.0 10277 144 13.77245508982036 
t26 29 OPTIMAL 122 169.0 13531 130 23.076923076923077 
t27 29 OPTIMAL 178 144.0 14749 129 10.416666666666666 
t28 26 OPTIMAL 65 162.0 11097 130 19.753086419753085 
t29 28 OPTIMAL 104 167.0 12125 152 8.982035928143713 
