Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_win Desigion_LS_win ErrorRate_LS_win
t1 27 OPTIMAL 145 144.00000000000003 7140 137 4.86111111111113 
t2 26 OPTIMAL 18 167.0 5714 123 26.347305389221557 
t3 26 OPTIMAL 21 168.0 5810 145 13.69047619047619 
t4 28 OPTIMAL 20 172.0 7104 145 15.69767441860465 
t5 28 OPTIMAL 35 142.0 7928 114 19.718309859154928 
t6 28 OPTIMAL 174 153.0 7565 120 21.568627450980394 
t7 28 OPTIMAL 24 175.0 7617 144 17.714285714285715 
t8 30 OPTIMAL 122 162.0 8785 133 17.901234567901234 
t9 29 OPTIMAL 81 152.0 8873 115 24.342105263157894 
t10 29 OPTIMAL 60 167.0 8674 152 8.982035928143713 
t11 30 OPTIMAL 65 152.0 8217 122 19.736842105263158 
t12 27 OPTIMAL 26 161.0 7034 120 25.46583850931677 
t13 26 OPTIMAL 45 164.99999999999997 5572 148 10.303030303030289 
t14 27 OPTIMAL 124 157.0 6686 129 17.8343949044586 
t15 28 OPTIMAL 182 146.0 6653 118 19.17808219178082 
t16 25 OPTIMAL 19 157.0 5619 139 11.464968152866241 
t17 26 OPTIMAL 25 159.0 5592 134 15.723270440251572 
t18 26 OPTIMAL 24 149.0 5700 128 14.093959731543624 
t19 28 OPTIMAL 68 163.0 6831 126 22.699386503067483 
t20 29 OPTIMAL 109 150.0 7884 132 12.0 
t21 25 OPTIMAL 25 158.0 5621 144 8.860759493670885 
t22 27 OPTIMAL 27 165.00000000000003 6642 141 14.54545454545456 
t23 29 OPTIMAL 29 174.0 7969 136 21.839080459770116 
t24 30 OPTIMAL 59 151.0 8076 142 5.960264900662252 
t25 29 OPTIMAL 69 158.0 7970 136 13.924050632911392 
t26 26 OPTIMAL 56 169.0 5580 140 17.159763313609467 
t27 25 OPTIMAL 17 175.0 5576 143 18.285714285714285 
t28 26 OPTIMAL 70 151.0 5634 118 21.85430463576159 
t29 27 OPTIMAL 194 149.00000000000003 6657 126 15.43624161073827 
