Task ConflictPercent Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
t0 30 4370236 258 OPTIMAL 10486 326.0 20.858895705521473
t1 28 2137284 248 OPTIMAL 9625 338.0 26.62721893491124
t2 28 2448446 302 OPTIMAL 5576 334.0 9.580838323353293
t3 27 2812539 318 OPTIMAL 4996 338.99999999999983 6.194690265486678
t4 25 1757308 330 OPTIMAL 2040 357.0 7.563025210084033
t5 30 2613868 258 OPTIMAL 3767 329.00000000000017 21.580547112462046
t6 30 2383417 253 OPTIMAL 6142 335.0 24.47761194029851
t7 28 3066731 282 OPTIMAL 5958 332.99999999999994 15.315315315315301
t8 27 1818404 297 OPTIMAL 4685 340.0 12.647058823529411
t9 26 1918189 329 OPTIMAL 2689 346.0 4.913294797687861
t10 30 2498167 274 OPTIMAL 9624 340.99999999999994 19.648093841642215
t11 28 2308761 277 OPTIMAL 2621 335.0 17.313432835820894
t12 28 2010299 319 OPTIMAL 16180 334.0 4.491017964071856
t13 30 3607425 261 OPTIMAL 9398 334.0 21.856287425149702
t14 30 2753163 289 OPTIMAL 12309 334.0 13.47305389221557
t15 29 3424517 303 OPTIMAL 4003 343.0 11.661807580174926
t16 30 2730101 262 OPTIMAL 4873 340.0000000000001 22.94117647058826
t17 29 2661684 281 OPTIMAL 12542 339.0 17.10914454277286
t18 27 2567005 321 OPTIMAL 994 360.0 10.833333333333334
t19 29 2532539 298 OPTIMAL 3439 349.0 14.613180515759312
t20 28 3049501 309 OPTIMAL 5175 342.0 9.649122807017545
t21 28 2634074 294 OPTIMAL 4060 333.0 11.711711711711711
t22 28 2240956 261 OPTIMAL 6164 332.99999999999994 21.62162162162161
t23 26 3518278 315 OPTIMAL 4361 330.0 4.545454545454546
t24 30 4175193 250 OPTIMAL 14416 334.0 25.149700598802394
t25 25 2020154 296 OPTIMAL 3406 337.0 12.166172106824925
t26 26 3018120 323 OPTIMAL 3754 342.0 5.555555555555555
t27 27 3220018 298 OPTIMAL 5439 331.0 9.969788519637461
t28 26 3030444 307 OPTIMAL 5716 350.0 12.285714285714286
t29 28 3905359 280 OPTIMAL 10021 348.99999999999994 19.770773638968468
