Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 202017 3318603 255 FEASIBLE 12296 326.0 21.779141104294478
1 202020 2511778 260 FEASIBLE 9873 338.0 23.076923076923077
2 202020 2023236 274 FEASIBLE 5626 334.0 17.964071856287426
3 202013 1963977 303 FEASIBLE 4923 338.99999999999983 10.619469026548627
4 202011 2166402 304 FEASIBLE 2050 357.0 14.84593837535014
5 202016 3321177 257 FEASIBLE 3853 329.00000000000017 21.884498480243202
6 202011 4033414 237 FEASIBLE 6501 335.0 29.253731343283583
7 202001 2169207 245 FEASIBLE 6826 332.99999999999994 26.426426426426413
8 202010 3451112 292 FEASIBLE 4803 340.0 14.117647058823529
9 202011 2609414 308 FEASIBLE 4126 346.0 10.982658959537572
10 202007 4126487 277 FEASIBLE 10477 340.99999999999994 18.768328445747787

0 852241 14309770 300 OPTIMAL 12681 326.0 7.975460122699387
1 202016 3002656 273 OPTIMAL 10090 338.0 19.23076923076923
2 202002 2042097 262 OPTIMAL 7021 334.0 21.55688622754491
3 202013 1939424 303 OPTIMAL 5217 338.99999999999983 10.619469026548627
4 202015 2391879 333 OPTIMAL 2293 357.0 6.722689075630252
5 395892 6447548 234 OPTIMAL 4003 329.00000000000017 28.87537993920976
6 202010 6337317 271 OPTIMAL 21695 335.0 19.104477611940297
7 202014 4328940 266 OPTIMAL 6164 332.99999999999994 20.120120120120106
8 202006 2601712 262 OPTIMAL 5068 340.0 22.941176470588236
9 202016 2432886 303 OPTIMAL 3057 346.0 12.427745664739884
10 202011 2448375 313 OPTIMAL 9758 340.99999999999994 8.211143695014648
11 202010 2831255 267 OPTIMAL 3018 335.0 20.29850746268657
12 202020 2553191 266 OPTIMAL 14576 334.0 20.35928143712575
13 202006 2947996 264 OPTIMAL 8756 334.0 20.95808383233533
14 202003 3262949 272 OPTIMAL 11294 334.0 18.562874251497007
15 202007 2364584 294 OPTIMAL 3872 343.0 14.285714285714286
16 277609 4821451 302 OPTIMAL 7387 340.0000000000001 11.176470588235324

t17 29 4937228 289 OPTIMAL 20894 339.0 14.749262536873156
t18 27 4985190 360 OPTIMAL 1485 360.0 0.0
t19 29 14356149 312 OPTIMAL 3433 349.0 10.601719197707736
t20 28 2652384 272 OPTIMAL 4329 342.0 20.46783625730994
t21 28 3009554 293 OPTIMAL 3625 333.0 12.012012012012011
t22 28 3638592 316 OPTIMAL 5789 332.99999999999994 5.105105105105089
t23 26 3110478 305 OPTIMAL 4053 330.0 7.575757575757576
t24 30 4231958 242 OPTIMAL 14386 334.0 27.54491017964072
t25 25 2509762 298 OPTIMAL 3376 337.0 11.572700296735905
t26 26 2327577 329 OPTIMAL 3682 342.0 3.801169590643275
t27 27 3371606 306 OPTIMAL 4408 331.0 7.552870090634441
t28 26 3060115 316 OPTIMAL 5478 350.0 9.714285714285714
t29 28 3594491 276 OPTIMAL 9578 348.99999999999994 20.916905444126062
