Task ConflictPercent Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
t0 30 3278539 -800 OPTIMAL 10679 326.0 345.39877300613495
t1 28 2922046 272 OPTIMAL 9658 338.0 19.526627218934912
t2 28 2571787 253 OPTIMAL 5757 334.0 24.251497005988025
t3 27 2858455 311 OPTIMAL 5150 338.99999999999983 8.25958702064892
t4 25 2361036 326 OPTIMAL 2065 357.0 8.683473389355742
t5 30 3608114 232 OPTIMAL 3658 329.00000000000017 29.48328267477207
t6 30 3460916 287 OPTIMAL 6232 335.0 14.328358208955224
t7 28 2728295 316 OPTIMAL 6035 332.99999999999994 5.105105105105089
t8 27 2893158 273 OPTIMAL 4859 340.0 19.705882352941178
t9 26 2234696 310 OPTIMAL 2746 346.0 10.404624277456648
t10 30 3364285 299 OPTIMAL 9786 340.99999999999994 12.31671554252198
t11 28 3090190 244 OPTIMAL 2651 335.0 27.16417910447761
t12 28 2387626 263 OPTIMAL 14734 334.0 21.25748502994012
t13 30 3657406 276 OPTIMAL 8693 334.0 17.365269461077844
t14 30 3131024 284 OPTIMAL 11151 334.0 14.970059880239521
t15 29 3239771 288 OPTIMAL 4012 343.0 16.034985422740526
t16 30 3800848 283 OPTIMAL 4932 340.0000000000001 16.764705882352967
t17 29 3399385 261 OPTIMAL 12419 339.0 23.008849557522122
t18 27 2761139 312 OPTIMAL 979 360.0 13.333333333333334
t19 29 2698101 280 OPTIMAL 5994 349.0 19.770773638968482
