Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_1p1 Desigion_LS_1p1 ErrorRate_LS_1p1
t0 30 OPTIMAL 10435 326.0 44369971 -781 339.57055214723925 
t1 28 OPTIMAL 10298 338.0 41591130 -758 324.2603550295858 
t2 28 OPTIMAL 6072 334.0 35583592 181 45.808383233532936 
t3 27 OPTIMAL 5791 338.99999999999983 20329938 220 35.10324483775808 
t4 25 OPTIMAL 2191 357.0 16783040 275 22.969187675070028 
t5 30 OPTIMAL 3664 329.00000000000017 41722511 -807 345.288753799392 
t6 30 OPTIMAL 6168 335.0 33073466 210 37.3134328358209 
t7 28 OPTIMAL 6165 332.99999999999994 45429682 184 44.744744744744736 
t8 27 OPTIMAL 4827 340.0 92337635 206 39.411764705882355 
t9 26 OPTIMAL 3003 346.0 22759364 241 30.346820809248555


