Task ConflictPercent Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
t0 30 4820491 276 OPTIMAL 23850 326.0 15.337423312883436
t1 28 2991738 279 OPTIMAL 9742 338.0 17.45562130177515
t2 28 2641797 259 OPTIMAL 5829 334.0 22.45508982035928
t3 27 3326454 285 OPTIMAL 5059 338.99999999999983 15.929203539822966
t4 25 2883306 349 OPTIMAL 2066 357.0 2.2408963585434174
t5 30 3299444 192 OPTIMAL 3698 329.00000000000017 41.641337386018265
t6 30 4212620 275 OPTIMAL 6281 335.0 17.91044776119403
t7 28 3632178 313 OPTIMAL 6246 332.99999999999994 6.00600600600599
t8 27 3431399 290 OPTIMAL 4885 340.0 14.705882352941176
t9 26 3097727 306 OPTIMAL 2712 346.0 11.560693641618498
t10 30 4137881 315 OPTIMAL 9581 340.99999999999994 7.624633431085029
t11 28 2725852 266 OPTIMAL 2855 335.0 20.597014925373134
t12 28 2859932 286 OPTIMAL 14520 334.0 14.37125748502994
t13 30 3578060 296 OPTIMAL 9205 334.0 11.377245508982035
t14 30 4258119 273 OPTIMAL 16954 334.0 18.263473053892216
t15 29 6071729 299 OPTIMAL 4097 343.0 12.82798833819242
t16 30 4807003 295 OPTIMAL 6117 340.0000000000001 13.235294117647086
t17 29 4937228 289 OPTIMAL 20894 339.0 14.749262536873156
t18 27 4985190 360 OPTIMAL 1485 360.0 0.0
t19 29 14356149 312 OPTIMAL 3433 349.0 10.601719197707736
t20 28 2652384 272 OPTIMAL 4329 342.0 20.46783625730994
t21 28 3009554 293 OPTIMAL 3625 333.0 12.012012012012011
t22 28 3638592 316 OPTIMAL 5789 332.99999999999994 5.105105105105089
t23 26 3110478 305 OPTIMAL 4053 330.0 7.575757575757576
t24 30 4231958 242 OPTIMAL 14386 334.0 27.54491017964072
t25 25 2509762 298 OPTIMAL 3376 337.0 11.572700296735905
t26 26 2327577 329 OPTIMAL 3682 342.0 3.801169590643275
t27 27 3371606 306 OPTIMAL 4408 331.0 7.552870090634441
t28 26 3060115 316 OPTIMAL 5478 350.0 9.714285714285714
t29 28 3594491 276 OPTIMAL 9578 348.99999999999994 20.916905444126062
