Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 200001 2047579 237 OPTIMAL 11115 326.0 27.300613496932517
1 200001 1775945 -777 OPTIMAL 10284 338.0 329.8816568047337
2 200001 1765175 -805 OPTIMAL 6072 334.0 341.0179640718563
3 200001 1654124 -753 OPTIMAL 5047 338.99999999999983 322.1238938053098
4 200001 1360643 298 OPTIMAL 2108 357.0 16.526610644257705
5 200001 2033496 -804 OPTIMAL 3620 329.00000000000017 344.37689969604855
6 200001 2010589 -787 OPTIMAL 6146 335.0 334.92537313432837
7 200001 1750287 -853 OPTIMAL 6077 332.99999999999994 356.1561561561562
8 200001 1604787 273 OPTIMAL 4886 340.0 19.705882352941178
9 200001 1494013 286 OPTIMAL 2843 346.0 17.341040462427745
10 200001 1971138 -1793 OPTIMAL 9654 340.99999999999994 625.8064516129033
11 200001 1771171 269 OPTIMAL 2657 335.0 19.70149253731343
12 219967 1924614 254 OPTIMAL 14484 334.0 23.952095808383234
13 200001 2031020 -793 OPTIMAL 8585 334.0 337.4251497005988
14 200001 2062213 -738 OPTIMAL 11006 334.0 320.9580838323353
15 200001 1885107 -1771 OPTIMAL 3796 343.0 616.3265306122449
16 200001 2013526 -792 OPTIMAL 4836 340.0000000000001 332.9411764705881
17 200001 1894082 -814 OPTIMAL 12269 339.0 340.117994100295
18 200001 1597948 -811 OPTIMAL 973 360.0 325.27777777777777
19 200001 1868910 -805 OPTIMAL 3150 349.0 330.6590257879656
20 200001 1739007 -738 OPTIMAL 3947 342.0 315.7894736842105
21 200001 1738009 234 OPTIMAL 3425 333.0 29.72972972972973
22 200001 1742573 282 OPTIMAL 5756 332.99999999999994 15.315315315315301
23 200001 1490065 307 OPTIMAL 3990 330.0 6.96969696969697
24 200001 1990691 -812 OPTIMAL 13905 334.0 343.1137724550898
25 200001 1361607 -795 OPTIMAL 3294 337.0 335.9050445103858
26 200001 1511281 271 OPTIMAL 3704 342.0 20.760233918128655
27 200001 1624026 299 OPTIMAL 4391 331.0 9.667673716012084
28 200001 1506131 277 OPTIMAL 5388 350.0 20.857142857142858
29 200001 1762020 -739 OPTIMAL 9430 348.99999999999994 311.7478510028654
