Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_win Desigion_LS_win ErrorRate_LS_win
t0 30 OPTIMAL 16537 326.0 177032 -3803 1266.564417177914 
t1 28 OPTIMAL 11520 338.0 174165 -2828 936.6863905325444 
t2 28 OPTIMAL 7365 334.0 154982 -1807 641.0179640718563 
t3 27 OPTIMAL 6038 338.99999999999983 142573 -1821 637.1681415929206 
t4 25 OPTIMAL 2527 357.0 129423 196 45.09803921568628 
t5 30 OPTIMAL 4588 329.00000000000017 194627 -2808 953.4954407294828 
t6 30 OPTIMAL 7676 335.0 194751 -1829 645.9701492537314 
t7 28 OPTIMAL 7394 332.99999999999994 169576 -2835 951.3513513513515 
t8 27 OPTIMAL 5864 340.0 156082 -1779 623.2352941176471 
t9 26 OPTIMAL 3453 346.0 143378 -797 330.3468208092485 
t10 30 OPTIMAL 11820 340.99999999999994 192205 -2786 917.008797653959 
t11 28 OPTIMAL 3240 335.0 169273 -1782 631.9402985074627 
t12 28 OPTIMAL 17688 334.0 168692 -3756 1224.5508982035929 
t13 30 OPTIMAL 10660 334.0 192493 -3842 1250.2994011976048 
t14 30 OPTIMAL 13677 334.0 203991 -4793 1535.0299401197606 
t15 29 OPTIMAL 4856 343.0 179993 -815 337.6093294460641 
t16 30 OPTIMAL 6006 340.0000000000001 193715 -2823 930.2941176470586 
t17 29 OPTIMAL 15177 339.0 182477 -2811 929.2035398230089 
t18 27 OPTIMAL 1205 360.0 155872 -767 313.05555555555554 
t19 29 OPTIMAL 3974 349.0 183162 -2796 901.1461318051576 
t20 28 OPTIMAL 5132 342.0 169604 -2775 911.4035087719299 
t21 28 OPTIMAL 4361 333.0 166713 -1797 639.6396396396397 
t22 28 OPTIMAL 7039 332.99999999999994 170634 -2797 939.9399399399401 
t23 26 OPTIMAL 4976 330.0 144312 -853 358.4848484848485 
t24 30 OPTIMAL 17378 334.0 192101 -4767 1527.245508982036 
t25 25 OPTIMAL 4214 337.0 133173 -821 343.620178041543 
t26 26 OPTIMAL 4605 342.0 145396 -762 322.8070175438597 
t27 27 OPTIMAL 5451 331.0 157461 -1773 635.6495468277946 
t28 26 OPTIMAL 6705 350.0 145179 -822 334.85714285714283 
t29 28 OPTIMAL 11655 348.99999999999994 168106 -2794 900.573065902579 
