Задача Время_SCIP ЦФ_SCIP СтатусРешения_SCIP Время_CBC ЦФ_CBC СтатусРешения_CBC 
0 17182 326.0 OPTIMAL 31468 326.0 OPTIMAL
1 12293 338.0 OPTIMAL 22417 338.0 OPTIMAL
2 9913 334.0 OPTIMAL 21397 334.0 OPTIMAL
3 5361 338.99999999999983 OPTIMAL 10611 339.0 OPTIMAL
4 2556 357.0 OPTIMAL 7429 357.0 OPTIMAL
5 3737 329.00000000000017 OPTIMAL 36958 329.0 OPTIMAL
6 7863 335.0 OPTIMAL 24923 335.0 OPTIMAL
7 6932 332.99999999999994 OPTIMAL 20903 333.0 OPTIMAL
8 5134 340.0 OPTIMAL 5109 340.0 OPTIMAL
9 3423 346.0 OPTIMAL 3689 346.0 OPTIMAL
10 16356 340.99999999999994 OPTIMAL 15441 341.0 OPTIMAL
11 6019 335.0 OPTIMAL 15168 335.0 OPTIMAL
12 19371 334.0 OPTIMAL 30178 334.0 OPTIMAL
13 13231 334.0 OPTIMAL 114231 334.0 OPTIMAL
14 11512 334.0 OPTIMAL 18075 334.0 OPTIMAL
15 4082 343.0 OPTIMAL 16031 343.0 OPTIMAL
16 4954 340.0000000000001 OPTIMAL 21397 340.0 OPTIMAL
17 12840 339.0 OPTIMAL 20973 339.0 OPTIMAL
18 1048 360.0 OPTIMAL 4031 360.0 OPTIMAL
19 4114 349.0 OPTIMAL 12993 349.0 OPTIMAL
20 4660 342.0 OPTIMAL 13650 342.0 OPTIMAL
21 4060 333.0 OPTIMAL 41063 333.0 OPTIMAL
22 6481 332.99999999999994 OPTIMAL 37413 333.0 OPTIMAL
23 4358 330.0 OPTIMAL 8291 330.0 OPTIMAL
24 15109 334.0 OPTIMAL 67588 334.0 OPTIMAL
25 3627 337.0 OPTIMAL 5688 337.0 OPTIMAL
26 3927 342.0 OPTIMAL 4033 342.0 OPTIMAL
27 4665 331.0 OPTIMAL 11603 331.0 OPTIMAL
28 5982 350.0 OPTIMAL 7791 350.0 OPTIMAL
29 11179 348.99999999999994 OPTIMAL 37511 349.0 OPTIMAL
