НомерЗадачи ИсходнаяПогрешность swap invert shuffle insertP insert swapK insertK
0 49.38650306748466 29.754601226993866 35.58282208588957 42.02453987730061 49.38650306748466 49.38650306748466 40.1840490797546 42.94478527607362
1 43.19526627218935 24.2603550295858 43.19526627218935 41.71597633136095 43.19526627218935 43.19526627218935 36.094674556213015 43.19526627218935
2 67.66467065868264 36.52694610778443 50.29940119760479 52.09580838323353 55.08982035928144 60.778443113772454 51.19760479041916 49.10179640718563
3 47.787610619469 28.318584070796426 36.87315634218286 33.03834808259584 46.312684365781685 40.70796460176988 39.52802359882003 44.54277286135691
4 12.88515406162465 12.324929971988796 12.88515406162465 12.324929971988796 12.88515406162465 12.88515406162465 12.88515406162465 12.88515406162465
5 51.06382978723407 42.85714285714288 49.54407294832829 49.54407294832829 49.54407294832829 49.54407294832829 51.06382978723407 51.06382978723407
6 26.865671641791046 26.865671641791046 26.865671641791046 24.47761194029851 24.47761194029851 24.47761194029851 26.865671641791046 26.567164179104477
7 39.03903903903903 14.1141141141141 32.13213213213212 24.024024024024012 36.03603603603602 36.03603603603602 38.73873873873873 38.43843843843843
8 43.529411764705884 10.588235294117647 41.76470588235294 36.1764705882353 41.76470588235294 41.76470588235294 43.529411764705884 39.705882352941174
9 42.19653179190752 23.69942196531792 38.72832369942196 29.479768786127167 36.994219653179194 39.017341040462426 25.433526011560694 41.61849710982659
10 69.50146627565981 32.258064516129025 61.29032258064515 50.73313782991201 66.27565982404691 66.27565982404691 45.16129032258063 54.25219941348973
11 49.25373134328358 33.134328358208954 49.25373134328358 48.95522388059702 48.95522388059702 48.95522388059702 34.32835820895522 46.26865671641791
12 40.7185628742515 25.748502994011975 33.23353293413174 27.24550898203593 34.131736526946106 32.035928143712574 33.532934131736525 37.4251497005988
13 38.02395209580838 21.55688622754491 34.73053892215569 34.73053892215569 38.02395209580838 38.02395209580838 38.02395209580838 38.02395209580838
14 30.538922155688624 21.856287425149702 30.538922155688624 25.748502994011975 30.538922155688624 30.538922155688624 28.143712574850298 30.538922155688624
15 53.06122448979592 12.82798833819242 36.15160349854227 39.650145772594755 47.521865889212826 43.14868804664723 47.521865889212826 41.690962099125365
16 50.882352941176485 24.411764705882376 45.000000000000014 45.000000000000014 46.47058823529414 46.47058823529414 38.5294117647059 50.882352941176485
17 52.21238938053097 41.88790560471976 52.21238938053097 45.42772861356932 52.21238938053097 47.78761061946903 45.42772861356932 52.21238938053097
18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
19 12.034383954154729 10.601719197707736 12.034383954154729 10.601719197707736 12.034383954154729 12.034383954154729 12.034383954154729 10.315186246418339
20 62.280701754385966 19.005847953216374 35.96491228070175 28.07017543859649 39.76608187134503 44.44444444444444 46.49122807017544 62.280701754385966
21 46.546546546546544 23.123123123123122 44.44444444444444 42.64264264264264 44.44444444444444 44.44444444444444 43.24324324324324 46.546546546546544
22 6.306306306306291 5.105105105105089 6.306306306306291 6.306306306306291 6.306306306306291 6.306306306306291 6.306306306306291 6.306306306306291
23 15.151515151515152 10.0 13.030303030303031 10.606060606060606 10.606060606060606 10.606060606060606 11.212121212121213 13.030303030303031
24 42.51497005988024 29.940119760479043 41.91616766467066 41.01796407185629 41.91616766467066 41.91616766467066 41.01796407185629 42.51497005988024
25 40.652818991097924 28.189910979228486 39.16913946587537 38.57566765578635 39.46587537091988 39.46587537091988 37.0919881305638 40.652818991097924
26 42.39766081871345 14.035087719298245 38.888888888888886 38.888888888888886 38.888888888888886 38.888888888888886 32.748538011695906 34.7953216374269
27 14.501510574018127 9.969788519637461 12.386706948640484 12.386706948640484 12.386706948640484 12.386706948640484 14.501510574018127 14.501510574018127
28 44.0 20.857142857142858 38.857142857142854 26.285714285714285 35.714285714285715 21.714285714285715 28.0 40.285714285714285
29 66.47564469914039 20.916905444126062 61.60458452722062 66.47564469914039 56.160458452722054 56.160458452722054 55.300859598853854 60.17191977077363
