НомерЗадачи swap invert shuffle insertP insert
0 21.0672595886603670 24.0133407448582550 19.6775986659255150 24.8471372984991670 25.514174541411897
1 20.5183585313174961 23.596112311015121 23.3261339092872571 22.46220302375811 23.16414686825054
2 28.0748663101604272 27.6470588235294132 28.8235294117647072 24.812834224598932 27.86096256684492
3 23.9428885227896763 22.295442064799563 20.3734211971444273 19.3849533223503563 20.483250961010434
4 27.4403470715835134 25.1626898047722354 24.51193058568334 24.7830802603036884 26.789587852494577
5 17.700052994170645 26.603073661897195 25.3312135665076855 23.3174350821409645 26.497085320614733
6 17.7508269018743126 24.7519294377067256 24.5314222712238146 25.8544652701212786 24.531422271223814
7 22.8648648648648637 24.648648648648657 28.9729729729729727 25.081081081081087 25.2972972972973
8 25.4604550379198258 25.0812567713976168 22.589382448537388 18.2556879739978338 22.48104008667389
9 23.4416622269579139 20.511454448588179 24.5071923281832729 24.560468833244549 22.855620671283965
10 26.99091394975948810 25.7616247995724210 29.12880812399786410 24.95991448423303210 23.837520042757884
11 28.06150466776496411 25.20593080724876611 27.12795167490389811 24.4371224601867111 31.466227347611202
12 24.32432432432432312 23.82790954219525812 20.46332046332046412 22.28350799779371312 25.261996690568118
13 26.3813651137594813 25.2437703141928513 27.68147345612134213 24.16034669555796213 27.89815817984832
14 25.29162248144220714 28.10180275715800514 29.5334040296924714 24.70837751855779314 22.00424178154825
15 24.89224137931034515 25.10775862068965515 27.8556034482758615 25.64655172413793215 28.771551724137932
16 25.02702702702702816 25.5675675675675716 22.86486486486486316 26.3783783783783816 26.486486486486488
17 18.00766283524904317 25.72523262178434717 22.0580186097427517 23.86425834701696817 23.918992884510125
18 27.65498652291105218 28.6253369272237218 24.3126684636118618 26.84636118598382718 27.493261455525605
19 25.0950570342205319 25.90983161325366519 25.9641499185225419 26.94187941336230519 22.0532319391635
20 20.9115281501340520 23.10991957104557720 24.61126005361930420 23.0026809651474520 24.611260053619304
21 24.82230727173318721 24.2755604155276121 22.19792236194641821 22.68999453253143621 27.61071623838163
22 24.0193444384739422 22.78344975819451822 21.9774314884470722 24.07307898979043522 24.01934443847394
23 25.85836909871244823 25.59012875536480523 26.93133047210300323 27.5751072961373423 23.819742489270386
24 23.63734484619535824 25.63410685375067324 27.57690232056125324 26.33567188343227324 25.256341068537505
25 19.8915989159891625 23.1436314363143625 22.27642276422764325 25.42005420054200525 25.094850948509485
26 26.78185745140388726 25.4859611231101526 23.97408207343412626 24.62203023758099426 31.20950323974082
27 25.27901785714285827 21.31696428571428527 18.35937527 21.98660714285714227 21.037946428571427
28 25.59293987865416428 25.97904026475455228 25.8135686707115328 22.945394373965828 26.14451185879757
29 25.99238716693855329 28.1131049483414929 23.92604676454594829 24.5785753126699329 22.94725394235998
