Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 202010 762 350 OPTIMAL 22 355.0 1.408450704225352
1 202013 1445 351 OPTIMAL 15 358.0 1.9553072625698324
2 202007 1313 359 OPTIMAL 16 367.0 2.1798365122615806
3 202001 1066 361 OPTIMAL 16 368.0 1.9021739130434783
4 202001 1267 352 OPTIMAL 16 359.0 1.9498607242339834
5 202001 788 356 OPTIMAL 16 366.0 2.73224043715847
6 202007 998 348 OPTIMAL 15 361.0 3.601108033240997
7 202015 566 357 OPTIMAL 14 363.0 1.6528925619834711
8 202015 1192 356 OPTIMAL 15 361.0 1.3850415512465375
9 202009 1238 357 OPTIMAL 16 365.0 2.191780821917808
10 202018 1061 347 OPTIMAL 15 354.0 1.9774011299435028
11 202014 1234 355 OPTIMAL 16 360.0 1.3888888888888888
12 202015 1369 349 OPTIMAL 15 352.0 0.8522727272727273
13 202018 1140 337 OPTIMAL 16 345.0 2.318840579710145
14 202011 1297 353 OPTIMAL 16 357.0 1.1204481792717087
15 202015 794 356 OPTIMAL 16 359.0 0.8356545961002786
16 202014 1359 349 OPTIMAL 16 354.0 1.4124293785310735
17 202017 1349 354 OPTIMAL 18 357.0 0.8403361344537815
18 202006 1327 358 OPTIMAL 15 364.0 1.6483516483516483
19 202004 741 351 OPTIMAL 23 364.0 3.5714285714285716
20 202006 950 350 OPTIMAL 17 358.0 2.2346368715083798
21 202014 1348 356 OPTIMAL 16 358.0 0.5586592178770949
22 202003 884 351 OPTIMAL 17 359.0 2.2284122562674096
23 202011 1265 357 OPTIMAL 15 361.0 1.10803324099723
24 202004 1286 364 OPTIMAL 14 367.0 0.8174386920980926
25 202019 1234 352 OPTIMAL 15 362.0 2.7624309392265194
26 202016 1373 358 OPTIMAL 15 368.0 2.717391304347826
27 202008 908 361 OPTIMAL 15 363.0 0.5509641873278237
28 202016 1120 355 OPTIMAL 15 363.0 2.203856749311295
29 202003 1234 351 OPTIMAL 14 359.0 2.2284122562674096
