Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 200001 280 347 OPTIMAL 29 355.0 2.2535211267605635
1 200001 252 351 OPTIMAL 19 358.0 1.9553072625698324
2 200001 293 362 OPTIMAL 19 367.0 1.3623978201634876
3 200001 255 361 OPTIMAL 17 368.0 1.9021739130434783
4 200001 243 346 OPTIMAL 19 359.0 3.6211699164345403
5 200001 231 362 OPTIMAL 18 366.0 1.092896174863388
6 200001 227 353 OPTIMAL 16 361.0 2.21606648199446
7 200001 257 354 OPTIMAL 14 363.0 2.479338842975207
8 200001 228 341 OPTIMAL 17 361.0 5.54016620498615
9 200001 228 357 OPTIMAL 16 365.0 2.191780821917808
10 200001 221 345 OPTIMAL 15 354.0 2.542372881355932
11 200001 223 341 OPTIMAL 17 360.0 5.277777777777778
12 200001 241 340 OPTIMAL 16 352.0 3.409090909090909
13 200001 225 336 OPTIMAL 16 345.0 2.608695652173913
14 200001 226 345 OPTIMAL 16 357.0 3.361344537815126
15 200001 229 354 OPTIMAL 14 359.0 1.392757660167131
16 200001 239 340 OPTIMAL 16 354.0 3.9548022598870056
17 200001 356 338 OPTIMAL 28 357.0 5.322128851540616
18 200001 381 348 OPTIMAL 23 364.0 4.395604395604396
19 200001 313 349 OPTIMAL 17 364.0 4.1208791208791204
20 200001 254 348 OPTIMAL 16 358.0 2.793296089385475
21 200001 238 357 OPTIMAL 25 358.0 0.27932960893854747
22 200001 316 341 OPTIMAL 21 359.0 5.013927576601671
23 200001 261 354 OPTIMAL 17 361.0 1.9390581717451523
24 200001 245 356 OPTIMAL 15 367.0 2.997275204359673
25 200001 243 355 OPTIMAL 17 362.0 1.9337016574585635
26 200001 232 351 OPTIMAL 15 368.0 4.619565217391305
27 200001 234 350 OPTIMAL 16 363.0 3.581267217630854
28 200001 245 359 OPTIMAL 19 363.0 1.1019283746556474
29 200001 231 352 OPTIMAL 20 359.0 1.9498607242339834
