Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 202006 1989 354 OPTIMAL 56 355.0 0.28169014084507044
1 202019 2119 352 OPTIMAL 39 358.0 1.675977653631285
2 212817 2086 354 OPTIMAL 33 367.0 3.542234332425068
3 202015 1912 355 OPTIMAL 33 368.0 3.532608695652174
4 271314 3174 352 OPTIMAL 31 359.0 1.9498607242339834
5 202003 1908 363 OPTIMAL 21 366.0 0.819672131147541
6 202014 1755 352 OPTIMAL 19 361.0 2.4930747922437675
7 596282 4317 356 OPTIMAL 18 363.0 1.9283746556473829
8 202011 1505 350 OPTIMAL 18 361.0 3.0470914127423825
9 314899 2313 355 OPTIMAL 20 365.0 2.73972602739726
10 202018 1529 352 OPTIMAL 18 354.0 0.5649717514124294
11 202010 1479 350 OPTIMAL 20 360.0 2.7777777777777777
12 202001 1463 344 OPTIMAL 17 352.0 2.272727272727273
13 297867 2193 345 OPTIMAL 18 345.0 0.0
14 202020 1661 354 OPTIMAL 19 357.0 0.8403361344537815
15 248711 1812 352 OPTIMAL 18 359.0 1.9498607242339834
16 202008 1491 350 OPTIMAL 17 354.0 1.1299435028248588
17 202001 1492 349 OPTIMAL 20 357.0 2.2408963585434174
18 286466 2074 363 OPTIMAL 17 364.0 0.27472527472527475
19 202008 1490 352 OPTIMAL 20 364.0 3.2967032967032965
20 202008 1463 352 OPTIMAL 18 358.0 1.675977653631285
21 202009 1687 355 OPTIMAL 21 358.0 0.8379888268156425
22 254584 2127 353 OPTIMAL 17 359.0 1.6713091922005572
23 202008 1441 353 OPTIMAL 17 361.0 2.21606648199446
24 202019 1471 358 OPTIMAL 17 367.0 2.4523160762942777
25 202014 1430 357 OPTIMAL 18 362.0 1.3812154696132597
26 247478 1837 356 OPTIMAL 18 368.0 3.260869565217391
27 202018 1466 360 OPTIMAL 18 363.0 0.8264462809917356
28 575842 4115 361 OPTIMAL 16 363.0 0.5509641873278237
29 251045 1817 358 OPTIMAL 16 359.0 0.2785515320334262
