Задача Время_SCIP ЦФ_SCIP СтатусРешения_SCIP Время_CBC ЦФ_CBC СтатусРешения_CBC 
0 29 355.0 OPTIMAL 15 355.0 OPTIMAL
1 20 358.0 OPTIMAL 14 358.0 OPTIMAL
2 21 367.0 OPTIMAL 13 367.0 OPTIMAL
3 20 368.0 OPTIMAL 13 368.0 OPTIMAL
4 22 359.0 OPTIMAL 13 359.0 OPTIMAL
5 22 366.0 OPTIMAL 13 366.0 OPTIMAL
6 21 361.0 OPTIMAL 13 361.0 OPTIMAL
7 22 363.0 OPTIMAL 13 363.0 OPTIMAL
8 22 361.0 OPTIMAL 13 361.0 OPTIMAL
9 24 365.0 OPTIMAL 13 365.0 OPTIMAL
10 20 354.0 OPTIMAL 15 354.0 OPTIMAL
11 26 360.0 OPTIMAL 13 360.0 OPTIMAL
12 20 352.0 OPTIMAL 13 352.0 OPTIMAL
13 20 345.0 OPTIMAL 13 345.0 OPTIMAL
14 20 357.0 OPTIMAL 12 357.0 OPTIMAL
15 19 359.0 OPTIMAL 13 359.0 OPTIMAL
16 18 354.0 OPTIMAL 12 354.0 OPTIMAL
17 21 357.0 OPTIMAL 14 357.0 OPTIMAL
18 20 364.0 OPTIMAL 13 364.0 OPTIMAL
19 18 364.0 OPTIMAL 14 364.0 OPTIMAL
20 20 358.0 OPTIMAL 14 358.0 OPTIMAL
21 20 358.0 OPTIMAL 13 358.0 OPTIMAL
22 22 359.0 OPTIMAL 13 359.0 OPTIMAL
23 19 361.0 OPTIMAL 12 361.0 OPTIMAL
24 17 367.0 OPTIMAL 12 367.0 OPTIMAL
25 22 362.0 OPTIMAL 16 362.0 OPTIMAL
26 22 368.0 OPTIMAL 13 368.0 OPTIMAL
27 19 363.0 OPTIMAL 12 363.0 OPTIMAL
28 18 363.0 OPTIMAL 12 363.0 OPTIMAL
29 17 359.0 OPTIMAL 15 359.0 OPTIMAL
