Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 202010 476998 367 OPTIMAL 10 367.0 0.0
1 202019 315790 361 OPTIMAL 21 361.0 0.0
2 202020 383801 365 OPTIMAL 5 366.0 0.273224043715847
3 202010 209015 372 OPTIMAL 5 373.0 0.2680965147453083
4 202001 463448 367 OPTIMAL 32 374.0 1.8716577540106951
5 202017 286816 370 OPTIMAL 16 371.0 0.2695417789757412
6 202017 472763 361 OPTIMAL 5 376.0 3.9893617021276597
7 202020 260952 368 OPTIMAL 5 368.0 0.0
8 202011 360604 368 OPTIMAL 18 368.0 0.0
9 202008 365382 370 OPTIMAL 16 371.00000000000006 0.26954177897575654
10 202001 206816 360 OPTIMAL 4 363.0 0.8264462809917356
11 202002 409778 368 OPTIMAL 5 368.0 0.0
12 202007 471890 366 OPTIMAL 5 368.0 0.5434782608695652
13 202018 349812 367 OPTIMAL 18 371.0 1.0781671159029649
14 202009 232826 363 OPTIMAL 14 368.0 1.358695652173913
15 202009 289674 345 OPTIMAL 5 357.0 3.361344537815126
16 202001 205404 353 OPTIMAL 4 364.0 3.021978021978022
17 202018 275585 370 OPTIMAL 5 370.0 0.0
18 202009 471369 368 OPTIMAL 18 369.0 0.27100271002710025
19 202006 325905 365 OPTIMAL 5 366.0 0.273224043715847
20 202001 158374 360 OPTIMAL 16 366.0 1.639344262295082
21 202018 146248 370 OPTIMAL 5 371.0 0.2695417789757412
22 202002 433715 357 OPTIMAL 5 360.0 0.8333333333333334
23 202018 301079 367 OPTIMAL 5 368.0 0.2717391304347826
24 202018 408898 367 OPTIMAL 5 367.0 0.0
25 202016 258848 366 OPTIMAL 5 366.0 0.0
26 202007 495798 374 OPTIMAL 6 375.0 0.26666666666666666
27 202007 191205 361 OPTIMAL 17 362.0 0.27624309392265195
28 202013 183163 367 OPTIMAL 17 367.0 0.0
29 202008 94122 361 OPTIMAL 5 366.0 1.366120218579235
