Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 202020 550310 367 OPTIMAL 47 367.0 0.0
1 202020 494859 361 OPTIMAL 20 361.0 0.0
2 202020 485742 366 OPTIMAL 17 366.0 0.0
3 202020 519901 373 OPTIMAL 22 373.0 0.0
4 202020 546021 374 OPTIMAL 60 374.0 0.0
5 202020 508898 371 OPTIMAL 7 371.0 0.0
6 202020 465039 376 OPTIMAL 9 376.0 0.0
7 202020 470399 368 OPTIMAL 9 368.0 0.0
8 202020 536172 368 OPTIMAL 29 368.0 0.0
9 202020 550295 371 OPTIMAL 45 371.00000000000006 1.5321676242805394E-14
10 202020 477613 363 OPTIMAL 21 363.0 0.0
