Task CountIteration Time_LS_1p1 Desigion_LS_1p1 Status_SCIP Time_SCIP Desigion_SCIP ErrorRate_LS_1p1
0 435335 1625 298 OPTIMAL 12 367.0 18.80108991825613
1 325121 1106 329 OPTIMAL 19 361.0 8.86426592797784
2 229269 724 289 OPTIMAL 6 366.0 21.038251366120218
3 420329 1542 291 OPTIMAL 5 373.0 21.98391420911528
4 200001 591 306 OPTIMAL 19 374.0 18.181818181818183
5 620819 1950 307 OPTIMAL 6 371.0 17.250673854447438
6 200001 731 300 OPTIMAL 5 376.0 20.21276595744681
7 200001 674 263 OPTIMAL 5 368.0 28.532608695652176
8 200001 579 280 OPTIMAL 19 368.0 23.91304347826087
9 348913 1071 240 OPTIMAL 17 371.00000000000006 35.30997304582211
10 231475 964 293 OPTIMAL 6 363.0 19.28374655647383
11 405371 1207 256 OPTIMAL 5 368.0 30.434782608695652
12 200001 635 -757 OPTIMAL 5 368.0 305.70652173913044
13 200001 573 337 OPTIMAL 18 371.0 9.164420485175203
14 959471 2687 265 OPTIMAL 17 368.0 27.98913043478261
15 206105 664 -707 OPTIMAL 6 357.0 298.03921568627453
16 200001 652 278 OPTIMAL 5 364.0 23.626373626373628
17 200001 659 -1721 OPTIMAL 5 370.0 565.1351351351351
18 200001 777 -715 OPTIMAL 23 369.0 293.7669376693767
19 200001 693 -685 OPTIMAL 5 366.0 287.1584699453552
20 381459 1110 278 OPTIMAL 17 366.0 24.043715846994534
21 208091 874 259 OPTIMAL 9 371.0 30.18867924528302
22 209425 960 -725 OPTIMAL 6 360.0 301.3888888888889
23 423953 1587 285 OPTIMAL 6 368.0 22.554347826086957
24 280293 960 -718 OPTIMAL 5 367.0 295.64032697547685
25 200001 594 331 OPTIMAL 6 366.0 9.562841530054644
26 200001 725 307 OPTIMAL 5 375.0 18.133333333333333
27 200001 596 -705 OPTIMAL 18 362.0 294.7513812154696
28 283087 898 275 OPTIMAL 23 367.0 25.068119891008173
29 200001 725 282 OPTIMAL 5 366.0 22.950819672131146
