Задача Время_SCIP ЦФ_SCIP СтатусРешения_SCIP Время_CBC ЦФ_CBC СтатусРешения_CBC 
0 11 367.0 OPTIMAL 13 367.0 OPTIMAL
1 21 361.0 OPTIMAL 11 361.0 OPTIMAL
2 5 366.0 OPTIMAL 11 366.0 OPTIMAL
3 5 373.0 OPTIMAL 11 373.0 OPTIMAL
4 19 374.0 OPTIMAL 12 374.0 OPTIMAL
5 8 371.0 OPTIMAL 17 371.0 OPTIMAL
6 7 376.0 OPTIMAL 16 376.0 OPTIMAL
7 10 368.0 OPTIMAL 15 368.0 OPTIMAL
8 21 368.0 OPTIMAL 12 368.0 OPTIMAL
9 24 371.00000000000006 OPTIMAL 13 371.0 OPTIMAL
10 7 363.0 OPTIMAL 16 363.0 OPTIMAL
11 11 368.0 OPTIMAL 14 368.0 OPTIMAL
12 7 368.0 OPTIMAL 14 368.0 OPTIMAL
13 20 371.0 OPTIMAL 11 371.0 OPTIMAL
14 18 368.0 OPTIMAL 13 368.0 OPTIMAL
15 12 357.0 OPTIMAL 20 357.0 OPTIMAL
16 10 364.0 OPTIMAL 15 364.0 OPTIMAL
17 5 370.0 OPTIMAL 11 370.0 OPTIMAL
18 18 369.0 OPTIMAL 10 369.0 OPTIMAL
19 4 366.0 OPTIMAL 14 366.0 OPTIMAL
20 40 366.0 OPTIMAL 19 366.0 OPTIMAL
21 5 371.0 OPTIMAL 15 371.0 OPTIMAL
22 5 360.0 OPTIMAL 10 360.0 OPTIMAL
23 5 368.0 OPTIMAL 21 368.0 OPTIMAL
24 5 367.0 OPTIMAL 14 367.0 OPTIMAL
25 8 366.0 OPTIMAL 16 366.0 OPTIMAL
26 7 375.0 OPTIMAL 15 375.0 OPTIMAL
27 22 362.0 OPTIMAL 11 362.0 OPTIMAL
28 16 367.0 OPTIMAL 10 367.0 OPTIMAL
29 4 366.0 OPTIMAL 10 366.0 OPTIMAL
